genome	gtdb_species	gtdb_genus	study_id	ecosystem_compartment	is_mag	n_phaC_matrix	n_targets_corrected	pct_triad_complete	pct_full_length	median_protein_length_aa	n_distinct_cluster07	n_clusters_known_of	pct_distinct_clusters	n_scaffolds_known	n_targets_scaffold_known_of	checkm_completeness	checkm_contamination	legitimacy_call
RSGB23-1_GCF-009617755-V1_GENO_10000001	Marinobacter salsuginis	Marinobacter	RSGB23-1	NA	False	4	4	0.750	0.500	601	4	4	1.000	1	3	100.0	0.0	likely_legit
RSGB23-1_GCF-009905525-V1_GENO_10000001	Sphingobium yanoikuyae	Sphingobium	RSGB23-1	NA	False	3	4	0.750	0.750	584	4	4	1.000	3	3	99.48	0.52	likely_legit
RSGB23-1_GCF-009910705-V1_GENO_10000001	Microvirga arsenatis	Microvirga	RSGB23-1	NA	False	4	4	1.000	1.000	624	3	4	0.750	4	4	99.06	0.63	likely_legit
RSGB23-1_GCF-011040495-V1_GENO_10000001	Roseovarius pelagicus	Roseovarius	RSGB23-1	NA	False	4	4	1.000	0.750	585	4	4	1.000	2	4	100.0	0.0	likely_legit
RSGB23-1_GCF-011250475-V1_GENO_10000001	Azonexus fungiphilus	Azonexus	RSGB23-1	NA	False	4	4	1.000	1.000	595	4	4	1.000	4	4	99.37	0.0	likely_legit
RSGB23-1_GCF-011492945-V1_GENO_10000001	Rubrobacter_D tropicus	Rubrobacter_D	RSGB23-1	NA	False	4	4	0.750	0.250	404	4	4	1.000	1	4	95.77	1.41	likely_legit
RSGB23-1_GCF-011492965-V1_GENO_10000001	Rubrobacter_F marinus	Rubrobacter_F	RSGB23-1	NA	False	4	4	0.750	0.000	359	4	4	1.000	1	4	95.34	2.63	likely_legit
RSGB23-1_GCF-011601345-V1_GENO_10000001	Roseovarius gahaiensis	Roseovarius	RSGB23-1	NA	False	4	4	1.000	0.750	606	4	4	1.000	3	4	99.55	0.3	likely_legit
RSGB23-1_GCF-012044895-V1_GENO_10000001	Aquisalimonas sp012044895	Aquisalimonas	RSGB23-1	NA	False	4	4	1.000	0.750	598	4	4	1.000	1	4	100.0	0.0	likely_legit
RSGB23-1_GCF-012932215-V1_GENO_10000001	Roseobacter ponti	Roseobacter	RSGB23-1	NA	False	4	4	1.000	0.500	599	4	4	1.000	1	4	99.25	0.48	likely_legit
RSGB23-1_GCF-013378055-V1_GENO_10000001	Parasphingopyxis sp013378055	Parasphingopyxis	RSGB23-1	NA	False	4	4	1.000	0.500	563	4	4	1.000	1	4	100.0	0.0	likely_legit
RSGB23-1_GCF-014109825-V1_GENO_10000001	Legionella sp014109825	Legionella	RSGB23-1	NA	False	4	4	1.000	1.000	598	4	4	1.000	1	4	100.0	1.15	likely_legit
RSGB23-1_GCF-015679265-V1_GENO_10000001	Pontivivens ytuae	Pontivivens	RSGB23-1	NA	False	4	4	0.750	0.750	604	4	4	1.000	1	4	100.0	0.0	likely_legit
RSGB23-1_GCF-016592015-V1_GENO_10000001	Alicycliphilus denitrificans	Alicycliphilus	RSGB23-1	NA	False	4	4	0.750	1.000	586	4	4	1.000	1	3	100.0	0.21	likely_legit
RSGB23-1_GCF-017894385-V1_GENO_10000001	Aromatoleum petrolei	Aromatoleum	RSGB23-1	NA	False	4	4	1.000	1.000	608	4	4	1.000	1	4	99.9	0.99	likely_legit
RSGB23-1_GCF-018889915-V1_GENO_10000001	Sphingobium xenophagum	Sphingobium	RSGB23-1	NA	False	3	4	1.000	0.750	586	4	4	1.000	2	3	100.0	0.0	likely_legit
RSGB23-1_GCF-900184945-V1_GENO_10000001	Antarctobacter aquimaris	Antarctobacter	RSGB23-1	NA	False	4	4	0.750	0.500	601	4	4	1.000	3	4	99.7	2.61	likely_legit
RSGB23-1_GCF-900185055-V1_GENO_10000001	Pelagimonas varians	Pelagimonas	RSGB23-1	NA	False	4	4	0.750	0.750	602	4	4	1.000	3	4	99.7	1.58	likely_legit
RSGB23-1_GCF-900187095-V1_GENO_10000001	Legionella waltersii	Legionella	RSGB23-1	NA	False	4	4	1.000	1.000	595	4	4	1.000	1	4	100.0	0.86	likely_legit
RSGB23-1_GCF-900188315-V1_GENO_10000001	Marinobacter sp900188315	Marinobacter	RSGB23-1	NA	False	4	4	0.750	0.500	601	4	4	1.000	1	3	100.0	0.0	likely_legit
RSGB23-1_GCF-900302505-V1_GENO_10000001	Pseudoprimorskyibacter insulae	Pseudoprimorskyibacter	RSGB23-1	NA	False	4	4	1.000	0.750	585	4	4	1.000	2	4	98.69	1.81	likely_legit
RSGB23-1_GCF-902859845-V1_GENO_10000001	Burkholderia puraquae	Burkholderia	RSGB23-1	NA	False	4	4	0.750	0.750	628	4	4	1.000	0	0	100.0	0.2	likely_legit
RSGB23-2_GCF-947331475-V1_GENO_10000001	Vreelandella glaciei	Vreelandella	RSGB23-2	NA	False	4	4	1.000	1.000	764	4	4	1.000	3	3	100.0	0.0	likely_legit
SANC23-1_SAMEA110646478_MAG_00000114	Sphingobium soli	Sphingobium	SANC23-1	Seawater	True	3	4	0.750	0.250	408	3	4	0.750	2	2	88.6	1.32	likely_legit
SANC23-1_SAMEA110646488_MAG_00000023	Unknown JAYZVO01	JAYZVO01	SANC23-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	3	4	96.13	5.0	likely_legit
SANC23-1_SAMEA110646509_MAG_00000072	Marinobacter flavimaris	Marinobacter	SANC23-1	Seawater	True	4	4	0.750	0.500	601	4	4	1.000	1	1	55.17	0.0	likely_legit
SANC23-1_SAMEA110646509_MAG_00000123	Antarctobacter sp019392335	Antarctobacter	SANC23-1	Seawater	True	4	4	0.750	0.500	570	4	4	1.000	0	0	99.1	1.05	likely_legit
SANC23-1_SAMEA110646509_MAG_00000151	Roseovarius indicus	Roseovarius	SANC23-1	Seawater	True	4	4	0.750	0.250	434	3	4	0.750	2	3	92.08	2.99	likely_legit
SANC23-1_SAMEA110646510_MAG_00000108	Antarctobacter sp019392335	Antarctobacter	SANC23-1	Seawater	True	3	4	0.000	0.000	267	4	4	1.000	2	2	78.8	0.86	likely_artifact
SANC23-1_SAMEA110646515_MAG_00000058	Pseudonocardia alni	Pseudonocardia	SANC23-1	Seawater	True	4	4	0.500	0.500	582	4	4	1.000	3	4	79.92	2.98	uncertain
SANC23-1_SAMEA110646516_MAG_00000119	Unknown JAYZVO01	JAYZVO01	SANC23-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	1	1	98.59	8.45	likely_legit
SANC23-1_SAMEA110646519_MAG_00000049	Unknown JAYZVO01	JAYZVO01	SANC23-1	Seawater	True	4	4	0.500	0.000	343	4	4	1.000	2	2	80.57	4.57	uncertain
SANC23-1_SAMEA110646520_MAG_00000012	Unknown JAYZVO01	JAYZVO01	SANC23-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	0	0	97.18	4.23	likely_legit
SANT17-1_SAMN02924044_MAG_00000128	Unknown PALSA-1004	PALSA-1004	SANT17-1	Freshwater lake water	True	4	4	0.750	1.000	602	4	4	1.000	4	4	90.14	2.82	likely_legit
SATI15-1_SAMN03252808_MAG_00000014	Reyranella sp963923875	Reyranella	SATI15-1	Freshwater river water	True	4	4	0.750	0.250	408	3	4	0.750	4	4	63.38	1.41	likely_legit
SATI15-1_SAMN03252818_MAG_00000001	Reyranella sp963923875	Reyranella	SATI15-1	Freshwater river water	True	4	4	1.000	0.250	423	4	4	1.000	4	4	54.93	2.82	likely_legit
SATO17-1_SAMN04961670_MAG_00000033	Unknown JABSSB01	JABSSB01	SATO17-1	Coral tissue	True	4	4	0.500	0.250	423	4	4	1.000	3	4	90.31	2.22	uncertain
SCHO22-1_SAMN24006287_MAG_00000007	Unknown JARRKU01	JARRKU01	SCHO22-1	Marine sediment	True	4	4	1.000	0.250	486	4	4	1.000	4	4	94.37	2.82	likely_legit
SCHO22-1_SAMN24006287_MAG_00000011	Unknown JAHQVI01	JAHQVI01	SCHO22-1	Marine sediment	True	4	4	0.750	0.750	607	4	4	1.000	4	4	96.77	4.11	likely_legit
SCHO22-1_SAMN24006290_MAG_00000004	Unknown JARRKU01	JARRKU01	SCHO22-1	Marine sediment	True	4	4	0.000	0.000	189	3	4	0.750	3	4	81.32	2.58	likely_artifact
SCHR19-1_SAMN09405884_MAG_00000012	Marinobacter sp002718255	Marinobacter	SCHR19-1	Seawater	True	3	4	0.750	0.500	601	4	4	1.000	1	1	99.57	0.65	likely_legit
SCHR19-1_SAMN09405887_MAG_00000010	Pontivivens nitratireducens	Pontivivens	SCHR19-1	Seawater	True	4	4	0.750	0.750	572	4	4	1.000	3	3	100.0	0.0	likely_legit
SCHR19-1_SAMN09405896_MAG_00000020	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.750	600	4	4	1.000	4	4	100.0	0.48	uncertain
SCHR19-1_SAMN09405898_MAG_00000007	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	4	4	0.750	0.500	601	4	4	1.000	1	1	97.41	0.2	likely_legit
SCHR19-1_SAMN09405904_MAG_00000033	Hyphomonas sp036964145	Hyphomonas	SCHR19-1	Seawater	True	4	4	1.000	0.750	610	4	4	1.000	3	4	100.0	0.0	likely_legit
SCHR19-1_SAMN09405909_MAG_00000014	Marinobacter sp002718255	Marinobacter	SCHR19-1	Seawater	True	3	4	0.750	0.500	601	4	4	1.000	0	0	99.14	0.22	likely_legit
SCHR19-1_SAMN09405918_MAG_00000002	Hyphomonas sp036964145	Hyphomonas	SCHR19-1	Seawater	True	4	4	1.000	0.750	610	4	4	1.000	0	0	97.18	0.0	likely_legit
SCHR19-1_SAMN09405918_MAG_00000025	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.500	598	4	4	1.000	2	3	62.07	0.0	uncertain
SCHR19-1_SAMN09405928_MAG_00000001	Sulfitobacter sp947497275	Sulfitobacter	SCHR19-1	Seawater	True	4	4	0.750	1.000	597	4	4	1.000	1	1	84.53	1.17	likely_legit
SCHR19-1_SAMN09405934_MAG_00000002	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	4	4	0.750	0.500	601	4	4	1.000	2	3	99.05	0.3	likely_legit
SCHR19-1_SAMN09405945_MAG_00000002	Pontivivens nitratireducens	Pontivivens	SCHR19-1	Seawater	True	4	4	0.750	0.750	572	4	4	1.000	0	0	99.8	0.0	likely_legit
SCHR19-1_SAMN09405945_MAG_00000016	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	3	4	0.750	0.500	601	4	4	1.000	0	0	100.0	0.97	likely_legit
SCHR19-1_SAMN09405956_MAG_00000020	Unknown Pseudorhodobacter	Pseudorhodobacter	SCHR19-1	Seawater	True	4	4	1.000	0.750	601	4	4	1.000	3	4	97.53	2.51	likely_legit
SCHR19-1_SAMN09405964_MAG_00000022	Hyphomonas sp036964145	Hyphomonas	SCHR19-1	Seawater	True	4	4	1.000	0.750	610	4	4	1.000	1	1	91.75	2.13	likely_legit
SCHR19-1_SAMN09405992_MAG_00000013	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	4	4	0.750	0.500	601	4	4	1.000	0	0	100.0	0.0	likely_legit
SCHR19-1_SAMN09406020_MAG_00000031	Sulfitobacter sp017854855	Sulfitobacter	SCHR19-1	Seawater	True	4	4	0.500	0.500	601	4	4	1.000	3	4	87.11	2.66	uncertain
SCHR19-1_SAMN09406022_MAG_00000019	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	4	4	0.750	0.500	601	4	4	1.000	0	0	100.0	0.0	likely_legit
SCHR19-1_SAMN09406033_MAG_00000003	Marinobacter manganoxydans	Marinobacter	SCHR19-1	Seawater	True	3	4	0.500	0.500	587	4	4	1.000	2	2	96.59	1.08	uncertain
SCHR19-1_SAMN09406041_MAG_00000003	Hyphomonas sp036964145	Hyphomonas	SCHR19-1	Seawater	True	4	4	1.000	0.750	610	4	4	1.000	0	0	99.35	0.49	likely_legit
SCHR19-1_SAMN09406048_MAG_00000005	Unknown Pseudorhodobacter	Pseudorhodobacter	SCHR19-1	Seawater	True	4	4	1.000	0.750	601	4	4	1.000	3	4	95.13	0.82	likely_legit
SCHR19-1_SAMN09406066_MAG_00000009	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.250	414	4	4	1.000	2	2	55.94	0.74	uncertain
SCHR19-1_SAMN09406073_MAG_00000002	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.000	0.000	291	4	4	1.000	2	3	50.86	0.0	likely_artifact
SCHR19-1_SAMN09406083_MAG_00000003	Marinobacter flavimaris	Marinobacter	SCHR19-1	Seawater	True	3	4	0.750	0.500	601	4	4	1.000	0	0	100.0	0.0	likely_legit
SCHR19-1_SAMN09406085_MAG_00000010	Hyphomonas sp036964145	Hyphomonas	SCHR19-1	Seawater	True	4	4	1.000	0.750	610	4	4	1.000	0	0	98.59	0.0	likely_legit
SCHR19-1_SAMN09406087_MAG_00000012	Unknown Marinobacter	Marinobacter	SCHR19-1	Seawater	True	4	4	0.750	0.500	599	4	4	1.000	3	4	97.74	0.3	likely_legit
SCHR19-1_SAMN09406088_MAG_00000016	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.750	600	4	4	1.000	0	0	72.41	1.72	uncertain
SCHR19-1_SAMN09406088_MAG_00000020	Unknown Rhodobacteraceae	Unknown Rhodobacteraceae	SCHR19-1	Seawater	True	4	4	0.750	0.750	598	4	4	1.000	3	4	80.06	0.5	likely_legit
SCHR19-1_SAMN09406099_MAG_00000012	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.750	600	4	4	1.000	0	0	92.06	0.16	uncertain
SCHR19-1_SAMN09406100_MAG_00000002	Marinobacter manganoxydans	Marinobacter	SCHR19-1	Seawater	True	3	4	0.750	0.500	601	4	4	1.000	2	2	71.55	0.0	likely_legit
SCHR19-1_SAMN09406122_MAG_00000004	Marinobacter sp018066865	Marinobacter	SCHR19-1	Seawater	True	4	4	0.500	0.750	600	4	4	1.000	0	0	99.95	0.16	uncertain
SCHR19-1_SAMN09406134_MAG_00000012	Neptuniibacter pectenicola	Neptuniibacter	SCHR19-1	Seawater	True	4	4	0.500	0.250	456	3	4	0.750	3	4	64.14	0.86	uncertain
SCRA20-1_SAMN11854481_MAG_00000060	Unknown GCA-2731375	GCA-2731375	SCRA20-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	4	4	97.69	1.56	likely_legit
SCRA20-1_SAMN11854485_MAG_00000076	Unknown GCA-2731375	GCA-2731375	SCRA20-1	Seawater	True	4	4	0.750	0.250	407	3	4	0.750	1	2	94.37	0.0	likely_legit
SCRA20-1_SAMN11854485_MAG_00000222	Unknown GCA-2731375	GCA-2731375	SCRA20-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	0	0	98.17	1.96	likely_legit
SCRA20-1_SAMN11854486_MAG_00000054	Unknown GCA-2731375	GCA-2731375	SCRA20-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	0	0	97.18	0.0	likely_legit
SCRA20-1_SAMN11854489_MAG_00000015	Unknown GCA-2731375	GCA-2731375	SCRA20-1	Seawater	True	4	4	0.750	0.250	411	4	4	1.000	1	1	94.37	4.23	likely_legit
SHAF22-1_SAMEA7723479_MAG_00000019	Roseovarius mucosus_A	Roseovarius	SHAF22-1	Marine sediment	True	4	4	0.500	0.250	365	3	4	0.750	3	4	65.31	1.72	uncertain
SHAF22-1_SAMEA7723485_MAG_00000002	Roseovarius nubinhibens	Roseovarius	SHAF22-1	Marine sediment	True	4	4	0.500	0.250	432	4	4	1.000	2	4	98.57	0.68	uncertain
SHAF22-1_SAMEA7723488_MAG_00000003	Unknown Pseudonocardia	Pseudonocardia	SHAF22-1	Marine sediment	True	4	4	0.750	0.500	567	4	4	1.000	2	4	99.35	3.37	likely_legit
SHAF22-1_SAMEA7723682_MAG_00000002	Marinobacter flavimaris	Marinobacter	SHAF22-1	Marine sediment	True	4	4	0.750	0.500	601	4	4	1.000	0	0	98.76	0.0	likely_legit
SHIN18-1_SAMEA104707366_MAG_00000055	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.500	602	4	4	1.000	3	4	91.07	1.25	likely_legit
SHIN18-1_SAMEA104707367_MAG_00000021	Unknown Thiosocius	Thiosocius	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	625	4	4	1.000	4	4	89.17	3.35	likely_legit
SHIN18-1_SAMEA104707368_MAG_00000131	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	602	4	4	1.000	3	3	96.48	0.65	likely_legit
SHIN18-1_SAMEA104707368_MAG_00000211	Unknown Kiloniellales	Unknown Kiloniellales	SHIN18-1	Marine sediment	True	4	4	1.000	0.250	366	4	4	1.000	4	4	75.94	3.61	likely_legit
SHIN18-1_SAMEA104707371_MAG_00000053	Unknown Roseobacter	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	599	4	4	1.000	3	4	91.69	1.72	likely_legit
SHIN18-1_SAMEA104707372_MAG_00000050	Unknown Kiloniellales	Unknown Kiloniellales	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	623	4	4	1.000	3	4	98.7	0.87	likely_legit
SHIN18-1_SAMEA104707372_MAG_00000066	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	602	4	4	1.000	3	4	86.15	1.23	likely_legit
SHIN18-1_SAMEA104707373_MAG_00000056	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.500	602	4	4	1.000	2	2	84.48	1.67	likely_legit
SHIN18-1_SAMEA104707373_MAG_00000068	QNFN01 sp009937385	QNFN01	SHIN18-1	Marine sediment	True	4	4	0.250	0.250	188	4	4	1.000	3	4	53.24	3.22	likely_artifact
SHIN18-1_SAMEA104707374_MAG_00000046	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.750	602	4	4	1.000	2	2	93.2	1.06	likely_legit
SHIN18-1_SAMEA104707374_MAG_00000049	Unknown Roseobacter	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.500	594	4	4	1.000	3	4	79.11	2.86	likely_legit
SHIN18-1_SAMEA104707375_MAG_00000038	Unknown Thiosocius	Thiosocius	SHIN18-1	Marine sediment	True	4	4	0.750	0.500	580	4	4	1.000	4	4	51.28	3.01	likely_legit
SHIN18-1_SAMEA104707376_MAG_00000065	Roseobacter sp041557855	Roseobacter	SHIN18-1	Marine sediment	True	4	4	1.000	0.500	602	4	4	1.000	2	2	84.03	1.9	likely_legit
SILV23-1_SAMEA6872380_MAG_00000018	Sphingorhabdus_B sp038217195	Sphingorhabdus_B	SILV23-1	Freshwater lake sediment	True	4	4	0.500	0.250	427	3	4	0.750	3	4	57.75	2.82	uncertain
SILV23-1_SAMEA6872381_MAG_00000028	Sphingorhabdus_B sp038217195	Sphingorhabdus_B	SILV23-1	Freshwater lake sediment	True	4	4	1.000	0.500	575	3	4	0.750	3	3	76.06	9.86	likely_legit
SILV23-1_SAMEA8700009_MAG_00000019	Unknown HK1	Unknown HK1	SILV23-1	Freshwater lake sediment	True	4	4	0.250	0.000	265	3	4	0.750	3	4	75.86	0.0	likely_artifact
SILV23-1_SAMEA8700010_MAG_00000022	Unknown JBFHNV01	JBFHNV01	SILV23-1	Freshwater lake sediment	True	4	4	0.750	0.250	425	4	4	1.000	3	4	85.29	5.31	likely_legit
SILV23-1_SAMEA8700011_MAG_00000016	Unknown HK1	Unknown HK1	SILV23-1	Freshwater lake sediment	True	4	4	0.500	0.500	506	4	4	1.000	4	4	71.55	0.0	uncertain
SILV23-1_SAMEA8700011_MAG_00000017	J085 sp041153465	J085	SILV23-1	Freshwater lake sediment	True	4	4	0.500	0.250	395	4	4	1.000	3	4	94.37	4.23	uncertain
SILV23-1_SAMEA8700012_MAG_00000006	Unknown HK1	Unknown HK1	SILV23-1	Freshwater lake sediment	True	4	4	1.000	0.750	574	4	4	1.000	3	3	91.21	5.17	likely_legit
SOGI22-1_SAMEA6126160_MAG_00000028	Unknown HK1	Unknown HK1	SOGI22-1	Marine sediment	True	4	4	0.250	0.500	506	4	4	1.000	3	4	73.24	0.0	likely_artifact
SOGI22-1_SAMEA6126163_MAG_00000036	Unknown HK1	Unknown HK1	SOGI22-1	Marine sediment	True	4	4	0.750	0.750	600	4	4	1.000	2	3	94.37	5.63	likely_legit
SOLA22-1_SAMEA7060527_MAG_00000165	Pseudomonas_E oleovorans	Pseudomonas_E	SOLA22-1	Seawater	True	4	4	0.500	0.000	310	3	4	0.750	1	4	95.77	1.41	uncertain
SOLA22-1_SAMEA7060535_MAG_00000084	Pseudomonas_E oleovorans	Pseudomonas_E	SOLA22-1	Seawater	True	4	4	0.500	0.000	310	3	4	0.750	0	0	97.96	1.11	uncertain
SOLA22-1_SAMEA7060535_MAG_00000143	Microbaculum sp905479765	Microbaculum	SOLA22-1	Seawater	True	4	4	0.750	0.500	517	4	4	1.000	3	4	88.73	1.41	likely_legit
SOME21-1_SAMN12878115_MAG_00000038	Unknown Nitrococcaceae	Unknown Nitrococcaceae	SOME21-1	Marine sediment	True	4	4	1.000	0.500	535	4	4	1.000	4	4	59.51	8.23	likely_legit
SPET22-1_SAMN18353077_MAG_00000121	Vreelandella alkaliphila	Vreelandella	SPET22-1	Hydrothermal vent sediment	True	4	4	0.500	0.500	617	4	4	1.000	2	3	53.45	0.0	uncertain
SUHA22-1_SAMN20336521_MAG_00000057	Cognatishimia activa_A	Cognatishimia	SUHA22-1	Seawater	True	4	4	1.000	0.500	598	3	4	0.750	3	4	78.45	0.0	likely_legit
SUHA22-1_SAMN20336535_MAG_00000072	Algiphilus sp022763315	Algiphilus	SUHA22-1	Seawater	True	4	4	0.750	0.250	397	4	4	1.000	3	3	95.77	0.0	likely_legit
SUHA22-1_SAMN20336539_MAG_00000056	Unknown Parasphingopyxis	Parasphingopyxis	SUHA22-1	Seawater	True	4	4	1.000	0.500	563	4	4	1.000	4	4	66.2	0.0	likely_legit
SUHA22-1_SAMN20336539_MAG_00000068	Unknown Rickettsiales	Unknown Rickettsiales	SUHA22-1	Seawater	True	4	4	1.000	0.750	592	4	4	1.000	2	4	100.0	1.41	likely_legit
SUMM22-1_SAMN21164802_MAG_00000001	Unknown Actibacterium_B	Actibacterium_B	SUMM22-1	Animal bone biofilm	True	4	4	1.000	0.750	584	4	4	1.000	4	4	85.51	1.73	likely_legit
SUMM22-1_SAMN21164803_MAG_00000010	Unknown Actibacterium_B	Actibacterium_B	SUMM22-1	Animal bone biofilm	True	4	4	1.000	0.750	584	4	4	1.000	0	0	95.77	1.41	likely_legit
SUMM22-1_SAMN21164806_MAG_00000003	Unknown Actibacterium_B	Actibacterium_B	SUMM22-1	Animal bone biofilm	True	4	4	1.000	0.750	584	4	4	1.000	0	0	98.74	2.42	likely_legit
SUMM22-1_SAMN21164807_MAG_00000004	Unknown Actibacterium_B	Actibacterium_B	SUMM22-1	Animal bone biofilm	True	4	4	1.000	0.750	584	4	4	1.000	0	0	99.44	1.21	likely_legit
SUMM22-1_SAMN21164810_MAG_00000001	Unknown Actibacterium_B	Actibacterium_B	SUMM22-1	Animal bone biofilm	True	4	4	1.000	0.750	584	4	4	1.000	0	0	95.09	2.42	likely_legit
SUNY21-1_SAMEA6942735_MAG_00000323	TMED2 sp002168225	TMED2	SUNY21-1	Seawater	True	4	4	1.000	0.250	431	4	4	1.000	4	4	91.8	0.22	likely_legit
SUNY21-1_SAMEA6942736_MAG_00000028	Bordetella_B ansorpii_A	Bordetella_B	SUNY21-1	Seawater	True	4	4	1.000	0.750	547	4	4	1.000	3	4	97.18	1.41	likely_legit
SUTE22-1_SAMN10231894_MAG_00000019	Unknown JAAESI01	JAAESI01	SUTE22-1	Seawater	True	4	4	0.500	0.000	313	4	4	1.000	4	4	53.44	1.61	uncertain
SUTE22-1_SAMN10231911_MAG_00000044	Unknown JAAESI01	JAAESI01	SUTE22-1	Seawater	True	4	4	0.500	0.000	373	4	4	1.000	2	2	91.55	5.63	uncertain
SUTE22-1_SAMN10231911_MAG_00000101	Unknown UBA796	Unknown UBA796	SUTE22-1	Seawater	True	4	4	0.750	0.000	375	4	4	1.000	3	4	89.35	4.03	likely_legit
SUTE22-1_SAMN10231912_MAG_00000227	Unknown UBA796	Unknown UBA796	SUTE22-1	Seawater	True	4	4	0.750	0.000	375	4	4	1.000	1	1	90.32	4.25	likely_legit
SUTE22-1_SAMN10231912_MAG_00000271	Unknown JAAESI01	JAAESI01	SUTE22-1	Seawater	True	4	4	0.500	0.000	428	4	4	1.000	2	2	90.81	3.93	uncertain
SUTE22-1_SAMN10231913_MAG_00000132	Unknown JAAESI01	JAAESI01	SUTE22-1	Seawater	True	4	4	0.500	0.000	428	4	4	1.000	1	1	97.18	4.23	uncertain
SUTE22-1_SAMN10231914_MAG_00000154	Unknown JAAESI01	JAAESI01	SUTE22-1	Seawater	True	4	4	0.500	0.000	428	4	4	1.000	1	1	95.11	4.55	uncertain
TANS21-1_SAMN12687857-S001_MAG_00000209	Unknown Desulfosarcina	Desulfosarcina	TANS21-1	Marine sediment	True	4	4	0.500	0.500	730	3	4	0.750	4	4	69.01	5.63	uncertain
TAOJ22-1_SAMN27365854_MAG_00000007	WKFI01 sp022763485	WKFI01	TAOJ22-1	Seawater	True	4	4	1.000	0.750	579	4	4	1.000	3	4	96.72	1.65	likely_legit
TAOJ22-1_SAMN27365860_MAG_00000023	Unknown Sulfitobacter	Sulfitobacter	TAOJ22-1	Seawater	True	4	4	0.750	0.750	602	4	4	1.000	3	4	77.23	1.72	likely_legit
TAOJ22-1_SAMN27365860_MAG_00000039	Unknown Glaciecola	Glaciecola	TAOJ22-1	Seawater	True	4	4	0.500	0.500	577	4	4	1.000	3	4	79.31	0.0	uncertain
TAOJ22-1_SAMN27365861_MAG_00000018	Yoonia sp002378665	Yoonia	TAOJ22-1	Seawater	True	3	4	1.000	0.500	584	4	4	1.000	3	3	85.92	9.86	likely_legit
TAOJ22-1_SAMN27365862_MAG_00000037	Unknown Ascidiaceihabitans	Ascidiaceihabitans	TAOJ22-1	Seawater	True	4	4	1.000	1.000	585	4	4	1.000	1	1	98.68	0.66	likely_legit
TAOJ22-1_SAMN27365862_MAG_00000055	Sulfitobacter sp017854675	Sulfitobacter	TAOJ22-1	Seawater	True	4	4	1.000	1.000	587	4	4	1.000	4	4	68.16	0.61	likely_legit
TAOJ22-1_SAMN27365862_MAG_00000112	Unknown Glaciecola	Glaciecola	TAOJ22-1	Seawater	True	4	4	0.500	0.500	577	4	4	1.000	1	1	64.11	1.72	uncertain
TAOJ22-1_SAMN27365862_MAG_00000231	Yoonia sp017854415	Yoonia	TAOJ22-1	Seawater	True	4	4	1.000	0.750	630	3	4	0.750	3	4	53.52	7.04	likely_legit
TARA_SAMEA2619376_MAG_00000170	TMED2 sp002168225	TMED2	TOPC	Seawater	True	4	4	1.000	0.500	609	4	4	1.000	2	3	99.13	0.0	likely_legit
TARA_SAMEA2619399_MAG_00000152	TMED2 sp002168225	TMED2	TOPC	Seawater	True	4	4	1.000	0.500	609	4	4	1.000	1	1	99.13	0.0	likely_legit
TARA_SAMEA2619531_MAG_00000171	TMED2 sp002168225	TMED2	TOPC	Seawater	True	4	4	1.000	0.500	609	4	4	1.000	0	0	99.13	0.0	likely_legit
TARA_SAMEA2619548_MAG_00000046	TMED2 sp002168225	TMED2	TOPC	Seawater	True	4	4	1.000	0.500	609	4	4	1.000	0	0	96.96	0.0	likely_legit
