cluster_id	n_genomes	n_studies	n_classes	top_genus
OMDBv2.0_AA_G_NR100_000038247189	6	1	1	Ga0077548
OMDBv2.0_AA_G_NR100_000129458660	6	4	1	JAPOUP01
OMDBv2.0_AA_G_NR100_000049847232	6	3	1	JAAELZ01
OMDBv2.0_AA_G_NR100_000044347208	6	3	1	Unknown RBG-16-68-14
OMDBv2.0_AA_G_NR100_000245629110	6	2	1	MS8
OMDBv2.0_AA_G_NR100_000062609501	6	3	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000058158402	6	4	2	UBA2156
OMDBv2.0_AA_G_NR100_000152960625	6	1	1	Chloracidobacterium
OMDBv2.0_AA_G_NR100_000110970519	6	2	1	Litorivicinus
OMDBv2.0_AA_G_NR100_000174614124	6	3	1	Algiphilus
OMDBv2.0_AA_G_NR100_000141922215	6	4	1	Alloalcanivorax
OMDBv2.0_AA_G_NR100_000003063629	6	3	1	CALGGB01
OMDBv2.0_AA_G_NR100_000065127049	6	4	1	GCA-2717285
OMDBv2.0_AA_G_NR100_000019505481	6	2	1	Panacagrimonas
OMDBv2.0_AA_G_NR100_000149267662	6	4	1	Paremcibacter
OMDBv2.0_AA_G_NR100_000064422130	6	5	1	WLXB01
OMDBv2.0_AA_G_NR100_000041100238	6	2	1	JANQKO01
OMDBv2.0_AA_G_NR100_000066115802	6	4	1	Casp-alpha2
OMDBv2.0_AA_G_NR100_000025507718	6	4	1	Phenylobacterium
OMDBv2.0_AA_G_NR100_000011416788	6	2	1	Hyphomicrobium_A
OMDBv2.0_AA_G_NR100_000174662085	6	5	2	Erythrobacter
OMDBv2.0_AA_G_NR100_000043678606	6	3	2	UBA1847
OMDBv2.0_AA_G_NR100_000168181444	6	3	1	UBA7377
OMDBv2.0_AA_G_NR100_000242690832	6	2	1	Zwartia
OMDBv2.0_AA_G_NR100_000242467683	6	4	1	Algicoccus
OMDBv2.0_AA_G_NR100_000008413704	6	4	1	JANQNX01
OMDBv2.0_AA_G_NR100_000088294740	6	3	1	JAJRRA01
OMDBv2.0_AA_G_NR100_000166781071	6	2	1	QNFN01
OMDBv2.0_AA_G_NR100_000197039718	6	4	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000075057506	6	3	1	Frigidibacter
OMDBv2.0_AA_G_NR100_000131298322	6	3	1	CAKZTM01
OMDBv2.0_AA_G_NR100_000247221914	6	4	1	Thermohalobaculum
OMDBv2.0_AA_G_NR100_000190935324	6	3	1	HT1-32
OMDBv2.0_AA_G_NR100_000148494091	6	3	1	Thalassobius
OMDBv2.0_AA_G_NR100_000151670716	6	4	1	Parasphingopyxis
OMDBv2.0_AA_G_NR100_000201662201	6	5	1	Lentilitoribacter
OMDBv2.0_AA_G_NR100_000143669908	6	5	1	Pseudazoarcus
OMDBv2.0_AA_G_NR100_000229918097	6	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000027346558	6	4	1	Euryhalocaulis
OMDBv2.0_AA_G_NR100_000018864092	6	3	1	Chromohalobacter
OMDBv2.0_AA_G_NR100_000204022136	6	2	1	Bradyrhizobium
OMDBv2.0_AA_G_NR100_000113256229	6	1	1	Qipengyuania_C
OMDBv2.0_AA_G_NR100_000129464532	6	3	1	JAPORY01
OMDBv2.0_AA_G_NR100_000198387899	6	4	1	UBA2137
OMDBv2.0_AA_G_NR100_000198713092	6	2	1	GCA-2746425
OMDBv2.0_AA_G_NR100_000141756567	6	3	1	Thioclava
OMDBv2.0_AA_G_NR100_000009330164	6	2	2	SG8-41
OMDBv2.0_AA_G_NR100_000213857884	6	2	2	Unknown Inquilinaceae
OMDBv2.0_AA_G_NR100_000079372146	6	5	1	Alteriqipengyuania_A
OMDBv2.0_AA_G_NR100_000148558034	6	5	1	Alteraurantiacibacter
OMDBv2.0_AA_G_NR100_000146471509	6	5	1	Limnohabitans_A
OMDBv2.0_AA_G_NR100_000013583911	6	2	2	JAGFWP01
OMDBv2.0_AA_G_NR100_000141429631	6	2	1	Tepidimonas
OMDBv2.0_AA_G_NR100_000007067699	6	4	1	SG8-40
OMDBv2.0_AA_G_NR100_000165502970	6	4	1	Croceicoccus
OMDBv2.0_AA_G_NR100_000175198694	6	2	1	UBA7957
OMDBv2.0_AA_G_NR100_000041568995	6	2	1	Desulfoluna
OMDBv2.0_AA_G_NR100_000001952240	6	4	2	Reyranella
OMDBv2.0_AA_G_NR100_000010237810	6	1	1	UBA11574
OMDBv2.0_AA_G_NR100_000043652119	6	3	1	CAJQQK01
OMDBv2.0_AA_G_NR100_000208546977	6	1	1	MH13
OMDBv2.0_AA_G_NR100_000143549510	6	5	1	Paracoccus
OMDBv2.0_AA_G_NR100_000242993414	6	4	1	Psychrobacter
OMDBv2.0_AA_G_NR100_000133983157	5	4	1	UBA2137
OMDBv2.0_AA_G_NR100_000009047258	5	2	1	JBBDSH01
OMDBv2.0_AA_G_NR100_000002576053	5	4	1	Sphingorhabdus_B
OMDBv2.0_AA_G_NR100_000167126444	5	1	1	JARRJC01
OMDBv2.0_AA_G_NR100_000067561819	5	2	1	JAADEN01
OMDBv2.0_AA_G_NR100_000162658677	5	2	1	NORP233
OMDBv2.0_AA_G_NR100_000175198907	5	1	1	UBA7957
OMDBv2.0_AA_G_NR100_000035358057	5	4	1	Cycloclasticus
OMDBv2.0_AA_G_NR100_000110680618	5	3	1	Cycloclasticus
OMDBv2.0_AA_G_NR100_000035169307	5	3	1	Cycloclasticus
OMDBv2.0_AA_G_NR100_000107136140	5	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000032284049	5	4	1	Metabacillus
OMDBv2.0_AA_G_NR100_000062386875	5	3	1	Sva-25
OMDBv2.0_AA_G_NR100_000159588085	5	3	2	Magnetaquicoccus
OMDBv2.0_AA_G_NR100_000126877410	5	4	1	Neptunomonas
OMDBv2.0_AA_G_NR100_000150623732	5	1	1	Piscirickettsia
OMDBv2.0_AA_G_NR100_000038979690	5	3	1	JAHRVQ01
OMDBv2.0_AA_G_NR100_000248842135	5	4	1	CALJXB01
OMDBv2.0_AA_G_NR100_000044471421	5	2	1	JADFKB01
OMDBv2.0_AA_G_NR100_000073464667	5	2	1	Bin52
OMDBv2.0_AA_G_NR100_000152193332	5	3	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000144423967	5	4	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000080149354	5	5	1	UBA2995
OMDBv2.0_AA_G_NR100_000129519429	5	5	1	Poriferihabitans
OMDBv2.0_AA_G_NR100_000243317991	5	2	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000008530038	5	4	1	Ketobacter
OMDBv2.0_AA_G_NR100_000011516784	5	5	2	JAYPEY01
OMDBv2.0_AA_G_NR100_000204768850	5	1	1	Unknown Inquilinaceae
OMDBv2.0_AA_G_NR100_000247305299	5	4	1	Thermohalobaculum
OMDBv2.0_AA_G_NR100_000069131063	5	2	1	J134
OMDBv2.0_AA_G_NR100_000062829795	5	4	2	Sphingosinicella
OMDBv2.0_AA_G_NR100_000115019356	5	3	1	Nocardioides
OMDBv2.0_AA_G_NR100_000141553053	5	2	1	Gordonia
OMDBv2.0_AA_G_NR100_000041571908	5	2	1	Desulfoluna
OMDBv2.0_AA_G_NR100_000148014678	5	2	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000032447981	5	1	1	CALGNO01
OMDBv2.0_AA_G_NR100_000169541730	5	1	1	VGSZ01
OMDBv2.0_AA_G_NR100_000162073536	5	3	1	JADJRG01
OMDBv2.0_AA_G_NR100_000063656579	5	5	1	Oceanococcus
OMDBv2.0_AA_G_NR100_000102050571	5	4	1	JAPPPA01
OMDBv2.0_AA_G_NR100_000139918959	5	2	1	Paracoccus
OMDBv2.0_AA_G_NR100_000039397390	5	1	1	BRH-c0
OMDBv2.0_AA_G_NR100_000145284852	5	2	1	Azospira
OMDBv2.0_AA_G_NR100_000150586521	5	1	1	Spiribacter
OMDBv2.0_AA_G_NR100_000159241443	5	3	1	Limnohabitans
OMDBv2.0_AA_G_NR100_000127383820	5	2	1	JAAEUB01
OMDBv2.0_AA_G_NR100_000007606635	5	1	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000185982801	5	4	1	TMED27
OMDBv2.0_AA_G_NR100_000244563245	5	2	1	SG8-39
OMDBv2.0_AA_G_NR100_000035097533	5	3	1	ASP10-02a
OMDBv2.0_AA_G_NR100_000199451128	5	1	1	Abyssibius
OMDBv2.0_AA_G_NR100_000043609164	5	4	1	Agarilytica
OMDBv2.0_AA_G_NR100_000109815419	5	3	1	JAPPHA01
OMDBv2.0_AA_G_NR100_000197108233	5	5	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000010151973	5	3	1	Aquabacterium
OMDBv2.0_AA_G_NR100_000139559481	5	1	1	Rhodovulum
OMDBv2.0_AA_G_NR100_000141984974	5	1	1	Legionella
OMDBv2.0_AA_G_NR100_000146497277	5	2	1	Tepidiphilus
OMDBv2.0_AA_G_NR100_000037012391	5	2	1	Saccharophagus
OMDBv2.0_AA_G_NR100_000175211862	5	1	1	Pikeienuella
OMDBv2.0_AA_G_NR100_000235790765	5	2	1	JADHLJ01
OMDBv2.0_AA_G_NR100_000014102051	5	5	1	JACKNG01
OMDBv2.0_AA_G_NR100_000021295371	5	3	1	JBCCEJ01
OMDBv2.0_AA_G_NR100_000065126077	5	3	1	JACNJU01
OMDBv2.0_AA_G_NR100_000129481655	5	2	1	JAPOTF01
OMDBv2.0_AA_G_NR100_000137800778	5	2	1	Tistrella
OMDBv2.0_AA_G_NR100_000139136966	5	1	1	Spiribacter
OMDBv2.0_AA_G_NR100_000218430084	5	2	1	CATLOR01
OMDBv2.0_AA_G_NR100_000221420505	5	4	1	Pseudotabrizicola
OMDBv2.0_AA_G_NR100_000236050036	5	1	1	Janibacter
OMDBv2.0_AA_G_NR100_000001732900	5	2	1	UBA3470
OMDBv2.0_AA_G_NR100_000212578202	5	1	1	Unknown Inquilinaceae
OMDBv2.0_AA_G_NR100_000102483778	5	1	1	Cypionkella
OMDBv2.0_AA_G_NR100_000128082764	5	4	1	Leisingera
OMDBv2.0_AA_G_NR100_000138858321	5	3	1	JALSRW01
OMDBv2.0_AA_G_NR100_000188527758	5	1	1	Hirschia
OMDBv2.0_AA_G_NR100_000227299936	5	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000164359814	5	3	1	JABILA01
OMDBv2.0_AA_G_NR100_000199480853	5	3	2	Porticoccus
OMDBv2.0_AA_G_NR100_000054336790	5	5	1	VYFG01
OMDBv2.0_AA_G_NR100_000147402907	5	1	1	Legionella
OMDBv2.0_AA_G_NR100_000199452412	5	1	1	Abyssibius
OMDBv2.0_AA_G_NR100_000113691305	5	3	1	Rs1
OMDBv2.0_AA_G_NR100_000193801065	5	4	1	SP197
OMDBv2.0_AA_G_NR100_000179123144	5	3	1	UBA830
OMDBv2.0_AA_G_NR100_000148329180	5	1	1	Elioraea
OMDBv2.0_AA_G_NR100_000000456010	5	4	1	Flagellatimonas
OMDBv2.0_AA_G_NR100_000127435322	5	2	1	Paremcibacter
OMDBv2.0_AA_G_NR100_000200380091	5	5	1	JARGPN01
OMDBv2.0_AA_G_NR100_000123584036	5	1	1	Unknown Bin95
OMDBv2.0_AA_G_NR100_000156695661	5	4	1	Vreelandella
OMDBv2.0_AA_G_NR100_000178452063	5	1	1	JAAESI01
OMDBv2.0_AA_G_NR100_000176707419	5	1	1	Desulfobacula
OMDBv2.0_AA_G_NR100_000007067893	5	1	1	SG8-40
OMDBv2.0_AA_G_NR100_000159624704	5	4	1	Polaromonas
OMDBv2.0_AA_G_NR100_000052819614	5	2	1	B119-G9
OMDBv2.0_AA_G_NR100_000152779483	5	2	1	Natrarchaeobaculum
OMDBv2.0_AA_G_NR100_000189562427	5	2	1	Tistrella
OMDBv2.0_AA_G_NR100_000077683283	5	1	1	HIMB30
OMDBv2.0_AA_G_NR100_000160312835	5	2	1	Shimia
OMDBv2.0_AA_G_NR100_000039198077	5	3	1	EhC02
OMDBv2.0_AA_G_NR100_000244449509	5	1	1	JADJWR01
OMDBv2.0_AA_G_NR100_000012534129	5	3	1	JAPULC01
OMDBv2.0_AA_G_NR100_000128041378	5	2	1	Robiginitomaculum_B
OMDBv2.0_AA_G_NR100_000138192780	5	2	1	Cereibacter_A
OMDBv2.0_AA_G_NR100_000225965606	5	2	1	UBA954
OMDBv2.0_AA_G_NR100_000003726597	5	1	1	Rubrivivax
OMDBv2.0_AA_G_NR100_000076852221	5	1	1	JBDNBY01
OMDBv2.0_AA_G_NR100_000032212053	5	3	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000071386569	5	1	1	MnTg02
OMDBv2.0_AA_G_NR100_000227690509	5	1	1	Hasllibacter
OMDBv2.0_AA_G_NR100_000041086023	5	1	1	JAKSBI01
OMDBv2.0_AA_G_NR100_000104412319	5	4	1	JBFHNV01
OMDBv2.0_AA_G_NR100_000153424314	5	3	1	Anderseniella
OMDBv2.0_AA_G_NR100_000194617948	5	2	1	UBA6929
OMDBv2.0_AA_G_NR100_000019405765	5	1	1	JAVJVX01
OMDBv2.0_AA_G_NR100_000139233008	5	1	1	Burkholderia
OMDBv2.0_AA_G_NR100_000155686654	5	5	1	UBA1672
OMDBv2.0_AA_G_NR100_000000164933	5	4	1	JASMHE01
OMDBv2.0_AA_G_NR100_000077681008	5	3	1	Roseicyclus
OMDBv2.0_AA_G_NR100_000127339555	5	4	1	UBA1672
OMDBv2.0_AA_G_NR100_000227763239	5	1	1	Unknown Rhizobiaceae
OMDBv2.0_AA_G_NR100_000136393205	5	3	1	Acidovorax
OMDBv2.0_AA_G_NR100_000140723086	5	2	1	Actibacterium_A
OMDBv2.0_AA_G_NR100_000142140885	5	4	1	Pseudorhodoplanes
OMDBv2.0_AA_G_NR100_000174473574	5	3	1	Pseudohoeflea
OMDBv2.0_AA_G_NR100_000038345220	5	3	2	Unknown Micavibrionaceae
OMDBv2.0_AA_G_NR100_000145649768	5	4	1	Aestuariivirga
OMDBv2.0_AA_G_NR100_000200399696	5	2	1	CAXBJY01
OMDBv2.0_AA_G_NR100_000022086261	5	1	1	JABMNR01
OMDBv2.0_AA_G_NR100_000079439109	5	3	1	Roseibium
OMDBv2.0_AA_G_NR100_000068271023	5	2	1	JALSRW01
OMDBv2.0_AA_G_NR100_000132265942	5	2	1	CAIYZJ01
OMDBv2.0_AA_G_NR100_000244429282	5	3	1	G020354665
OMDBv2.0_AA_G_NR100_000126993745	5	5	1	Puniceibacterium
OMDBv2.0_AA_G_NR100_000103760906	5	4	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000231754551	5	4	1	Eutrophovita
OMDBv2.0_AA_G_NR100_000229344586	5	4	1	Allopontixanthobacter
OMDBv2.0_AA_G_NR100_000181089025	5	4	1	CAJQQK01
OMDBv2.0_AA_G_NR100_000197923789	5	4	1	Nitratireductor
OMDBv2.0_AA_G_NR100_000006150688	5	2	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000081037177	5	3	1	Ponticaulis
OMDBv2.0_AA_G_NR100_000007495213	5	1	1	WHUA01
OMDBv2.0_AA_G_NR100_000019288491	5	5	1	Hyphomicrobium_A
OMDBv2.0_AA_G_NR100_000194526335	5	3	2	Marinibacterium
OMDBv2.0_AA_G_NR100_000103594833	5	3	1	UBA3064
OMDBv2.0_AA_G_NR100_000069304140	5	2	1	S012-90
OMDBv2.0_AA_G_NR100_000009713815	5	2	1	CALAQW01
OMDBv2.0_AA_G_NR100_000054271373	5	4	1	Henriciella
OMDBv2.0_AA_G_NR100_000054998111	5	3	1	Sphingobium
OMDBv2.0_AA_G_NR100_000143592438	5	2	1	Pollutimonas
OMDBv2.0_AA_G_NR100_000192648941	5	4	1	Unknown Minwuiaceae
OMDBv2.0_AA_G_NR100_000210395121	5	3	1	Stappia
OMDBv2.0_AA_G_NR100_000160143031	5	5	1	Comamonas
OMDBv2.0_AA_G_NR100_000140286894	5	4	1	Methyloceanibacter
OMDBv2.0_AA_G_NR100_000038587790	5	2	1	CAMYMG01
OMDBv2.0_AA_G_NR100_000139015750	5	1	1	Chromobacterium
OMDBv2.0_AA_G_NR100_000169472475	5	1	1	Denitrificimonas
OMDBv2.0_AA_G_NR100_000036604088	5	3	1	CPC320
OMDBv2.0_AA_G_NR100_000054858944	4	3	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000227525690	4	1	1	Unknown JACKNK01
OMDBv2.0_AA_G_NR100_000189401157	4	3	1	UBA9664
OMDBv2.0_AA_G_NR100_000216194241	4	1	1	JANQIU01
OMDBv2.0_AA_G_NR100_000009328059	4	1	1	Nitrosomaritimum
OMDBv2.0_AA_G_NR100_000036606353	4	3	1	Sphingobium
OMDBv2.0_AA_G_NR100_000067358612	4	2	1	Unknown Archaeoglobaceae
OMDBv2.0_AA_G_NR100_000021589895	4	3	1	JAYXVV01
OMDBv2.0_AA_G_NR100_000022238976	4	1	1	JAPYTK01
OMDBv2.0_AA_G_NR100_000197040943	4	2	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000171979203	4	3	1	GCA-2402195
OMDBv2.0_AA_G_NR100_000162658678	4	2	1	NORP233
OMDBv2.0_AA_G_NR100_000175149979	4	1	1	Unknown HP12
OMDBv2.0_AA_G_NR100_000043678608	4	3	1	UBA1847
OMDBv2.0_AA_G_NR100_000160552663	4	2	1	Unknown Desulfosarcinaceae
OMDBv2.0_AA_G_NR100_000245634860	4	4	1	Unknown UBA1532
OMDBv2.0_AA_G_NR100_000181812258	4	2	1	UBA868
OMDBv2.0_AA_G_NR100_000006499981	4	2	1	Immundisolibacter
OMDBv2.0_AA_G_NR100_000226367327	4	2	1	Cycloclasticus
OMDBv2.0_AA_G_NR100_000038175488	4	1	1	Immundisolibacter
OMDBv2.0_AA_G_NR100_000174710810	4	3	2	Nemorincola
OMDBv2.0_AA_G_NR100_000161718074	4	2	1	JBCCFA01
OMDBv2.0_AA_G_NR100_000197098626	4	3	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000053977869	4	4	1	CSP1-5
OMDBv2.0_AA_G_NR100_000141198499	4	3	1	Rhodanobacter
OMDBv2.0_AA_G_NR100_000110359192	4	2	1	Poriferihabitans
OMDBv2.0_AA_G_NR100_000140395936	4	3	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000227284013	4	1	1	Unknown JACKNK01
OMDBv2.0_AA_G_NR100_000113132025	4	1	1	Rhodococcoides
OMDBv2.0_AA_G_NR100_000007383506	4	1	1	Thioploca
OMDBv2.0_AA_G_NR100_000043627149	4	3	1	Desulfopila_A
OMDBv2.0_AA_G_NR100_000113255573	4	1	1	Qipengyuania_C
OMDBv2.0_AA_G_NR100_000038104934	4	3	1	Bernardetia
OMDBv2.0_AA_G_NR100_000175228074	4	3	1	Henriciella
OMDBv2.0_AA_G_NR100_000036527319	4	4	1	Perlucidibaca
OMDBv2.0_AA_G_NR100_000145594411	4	2	1	Salipaludibacillus
OMDBv2.0_AA_G_NR100_000000159179	4	3	1	CATLOR01
OMDBv2.0_AA_G_NR100_000010280481	4	3	2	Unknown Kiloniellales
OMDBv2.0_AA_G_NR100_000059096389	4	2	1	Unknown Muiribacteriota
OMDBv2.0_AA_G_NR100_000161974608	4	2	1	UBA2705
OMDBv2.0_AA_G_NR100_000087430316	4	1	1	Unknown Bin95
OMDBv2.0_AA_G_NR100_000099868216	4	2	1	JAAXGF01
OMDBv2.0_AA_G_NR100_000160933760	4	3	1	UBA1660
OMDBv2.0_AA_G_NR100_000072937195	4	1	1	JAJEFO01
OMDBv2.0_AA_G_NR100_000077377274	4	3	1	Unknown Ga0077536
OMDBv2.0_AA_G_NR100_000163752412	4	1	1	UBA1672
OMDBv2.0_AA_G_NR100_000172629722	4	2	1	QNFN01
OMDBv2.0_AA_G_NR100_000105694687	4	1	1	JANQOH01
OMDBv2.0_AA_G_NR100_000227308146	4	3	1	JBCCFA01
OMDBv2.0_AA_G_NR100_000080410768	4	2	2	UBA1672
OMDBv2.0_AA_G_NR100_000035031167	4	2	1	GCA-1730015
OMDBv2.0_AA_G_NR100_000041187468	4	3	1	Desulfoluna
OMDBv2.0_AA_G_NR100_000138941493	4	3	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000000321635	4	3	1	CATLTV01
OMDBv2.0_AA_G_NR100_000038272169	4	3	1	Solimonas_A
OMDBv2.0_AA_G_NR100_000006502567	4	3	1	Zavarzinia
OMDBv2.0_AA_G_NR100_000130884903	4	4	1	JAPPPA01
OMDBv2.0_AA_G_NR100_000166539355	4	2	1	Marimicrobium
OMDBv2.0_AA_G_NR100_000157979047	4	3	1	Pseudonocardia
OMDBv2.0_AA_G_NR100_000104541844	4	2	1	JABIRQ01
OMDBv2.0_AA_G_NR100_000151296892	4	3	1	Hwanghaeella
OMDBv2.0_AA_G_NR100_000113845978	4	3	1	Pacificispira
OMDBv2.0_AA_G_NR100_000194710550	4	1	1	UBA12223
OMDBv2.0_AA_G_NR100_000058544067	4	1	1	JAPYRS01
OMDBv2.0_AA_G_NR100_000171965155	4	3	1	GCA-2402195
OMDBv2.0_AA_G_NR100_000043539433	4	1	1	JAFDCJ01
OMDBv2.0_AA_G_NR100_000139147982	4	1	1	Pseudoalteromonas
OMDBv2.0_AA_G_NR100_000084614484	4	3	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000159870499	4	1	1	CAXBRX01
OMDBv2.0_AA_G_NR100_000001092989	4	3	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000200211756	4	2	1	UBA7359
OMDBv2.0_AA_G_NR100_000220168583	4	1	1	Unknown Midichloriaceae
OMDBv2.0_AA_G_NR100_000044684772	4	3	2	Unknown UBA7887
OMDBv2.0_AA_G_NR100_000151239112	4	3	1	Antarctobacter
OMDBv2.0_AA_G_NR100_000090432990	4	3	1	Phenylobacterium
OMDBv2.0_AA_G_NR100_000068571287	4	2	1	JALXAG01
OMDBv2.0_AA_G_NR100_000138697727	4	1	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000210252427	4	1	1	JBFKQC01
OMDBv2.0_AA_G_NR100_000042550511	4	2	1	HTCC2150
OMDBv2.0_AA_G_NR100_000068268674	4	2	1	JALSRW01
OMDBv2.0_AA_G_NR100_000127268107	4	3	1	JAJRUE01
OMDBv2.0_AA_G_NR100_000141497400	4	4	1	Salipiger
OMDBv2.0_AA_G_NR100_000008681059	4	1	1	Unknown SMXS01
OMDBv2.0_AA_G_NR100_000035332125	4	2	1	Sphingorhabdus_B
OMDBv2.0_AA_G_NR100_000041347216	4	1	1	JAKSBI01
OMDBv2.0_AA_G_NR100_000045001203	4	3	2	Unknown UBA6623
OMDBv2.0_AA_G_NR100_000148484891	4	2	1	Glaciecola
OMDBv2.0_AA_G_NR100_000166844167	4	2	1	QNFN01
OMDBv2.0_AA_G_NR100_000041073766	4	2	1	Unknown JAKSDN01
OMDBv2.0_AA_G_NR100_000006505261	4	3	1	Zavarzinia
OMDBv2.0_AA_G_NR100_000041235055	4	3	1	Marinobacter
OMDBv2.0_AA_G_NR100_000082347890	4	3	1	WLWX01
OMDBv2.0_AA_G_NR100_000022307713	4	3	1	Psychromarinibacter
OMDBv2.0_AA_G_NR100_000043574516	4	2	1	JASJEC01
OMDBv2.0_AA_G_NR100_000194243748	4	2	1	JBCCEJ01
OMDBv2.0_AA_G_NR100_000007255404	4	3	1	WHUA01
OMDBv2.0_AA_G_NR100_000107289906	4	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000009750112	4	3	1	CALAQW01
OMDBv2.0_AA_G_NR100_000058451215	4	2	1	JASLLZ01
OMDBv2.0_AA_G_NR100_000170079745	4	2	1	J085
OMDBv2.0_AA_G_NR100_000239056134	4	3	4	Unknown BM004
OMDBv2.0_AA_G_NR100_000137658063	4	1	1	Chloracidobacterium
OMDBv2.0_AA_G_NR100_000231578627	4	3	1	GCA-2748575
OMDBv2.0_AA_G_NR100_000044848361	4	2	1	JAPULJ01
OMDBv2.0_AA_G_NR100_000074857338	4	4	1	VMCJ01
OMDBv2.0_AA_G_NR100_000231577048	4	3	1	GCA-2748575
OMDBv2.0_AA_G_NR100_000054297194	4	3	1	JAALLB01
OMDBv2.0_AA_G_NR100_000003181943	4	4	1	CALJDF01
OMDBv2.0_AA_G_NR100_000003180737	4	3	1	CALJDF01
OMDBv2.0_AA_G_NR100_000007066944	4	1	2	SZUA-472
OMDBv2.0_AA_G_NR100_000146240717	4	3	1	CAISIP01
OMDBv2.0_AA_G_NR100_000227300587	4	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000069400461	4	3	1	Robiginitomaculum_B
OMDBv2.0_AA_G_NR100_000074277328	4	4	1	RS62
OMDBv2.0_AA_G_NR100_000227295137	4	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000001741930	4	3	2	JACNJU01
OMDBv2.0_AA_G_NR100_000129467393	4	2	1	Bin65
OMDBv2.0_AA_G_NR100_000181925865	4	3	1	UBA6544
OMDBv2.0_AA_G_NR100_000006692943	4	3	1	Parvibaculum
OMDBv2.0_AA_G_NR100_000205726331	4	1	1	Unknown GCA-2720935
OMDBv2.0_AA_G_NR100_000103209723	4	3	1	Unknown Bin95
OMDBv2.0_AA_G_NR100_000244874435	4	2	1	JADJWR01
OMDBv2.0_AA_G_NR100_000146273738	4	2	1	Solimonas_A
OMDBv2.0_AA_G_NR100_000018537820	4	3	1	GCA-2402195
OMDBv2.0_AA_G_NR100_000170370703	4	3	1	JABDIP01
OMDBv2.0_AA_G_NR100_000069332948	4	2	1	JALXAG01
OMDBv2.0_AA_G_NR100_000243890442	4	2	1	JACZXZ01
OMDBv2.0_AA_G_NR100_000041282440	4	2	1	JAKSBY01
OMDBv2.0_AA_G_NR100_000041073394	4	1	1	Unknown JAKSDN01
OMDBv2.0_AA_G_NR100_000114651174	4	4	1	Ahrensia
OMDBv2.0_AA_G_NR100_000187666601	4	2	1	UBA1479
OMDBv2.0_AA_G_NR100_000058616232	4	1	1	G963666705
OMDBv2.0_AA_G_NR100_000103698453	4	3	1	CAIUPE01
OMDBv2.0_AA_G_NR100_000139935993	4	2	1	Psychrobium
OMDBv2.0_AA_G_NR100_000245276785	4	2	2	Thiosocius
OMDBv2.0_AA_G_NR100_000008073386	4	1	1	UBA11574
OMDBv2.0_AA_G_NR100_000035593879	4	3	1	Thiosocius
OMDBv2.0_AA_G_NR100_000008563703	4	1	1	2-12-FULL-64-23
OMDBv2.0_AA_G_NR100_000040375430	4	2	1	XN24
OMDBv2.0_AA_G_NR100_000137418096	4	2	1	R2A130
OMDBv2.0_AA_G_NR100_000041185226	4	2	1	Desulfoluna
OMDBv2.0_AA_G_NR100_000153825238	4	2	1	Desulfoluna
OMDBv2.0_AA_G_NR100_000163391025	4	3	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000184970816	4	2	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000166646938	4	1	1	Thiosocius
OMDBv2.0_AA_G_NR100_000136906570	4	3	1	Hyphomicrobium_A
OMDBv2.0_AA_G_NR100_000181294737	4	3	1	Venatoribacter
OMDBv2.0_AA_G_NR100_000139873444	4	2	1	Halococcus
OMDBv2.0_AA_G_NR100_000037007424	4	2	1	DAHXLG01
OMDBv2.0_AA_G_NR100_000113485785	4	3	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000075985991	4	3	1	Marivivens
OMDBv2.0_AA_G_NR100_000218226449	4	3	1	JAEUMD01
OMDBv2.0_AA_G_NR100_000136323990	4	1	1	Haloarcula
OMDBv2.0_AA_G_NR100_000148276761	4	2	1	Halomicrobium
OMDBv2.0_AA_G_NR100_000038369655	4	2	1	Novosphingobium
