genome	n_phaC	gtdb_species	gtdb_genus	gtdb_phylum	study_id	ecosystem_compartment	latitude_degN	longitude_degE	is_mag	contamination_pct	n_targets_found	n_catalytic_triad_complete	n_hmm_supported	n_no_hit
RSGB23-1_GCF-003990125-V1_GENO_10000001	5	Legionella qingyii	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-003990275-V1_GENO_10000001	5	Legionella_A septentrionalis	Legionella_A	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-004137125-V1_GENO_10000001	5	Legionella fraseri	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	5	5	0	0
RSGB23-1_GCF-005144965-V1_GENO_10000001	5	Hankyongella ginsenosidimutans	Hankyongella	Pseudomonadota	RSGB23-1	NA			False	0.43	5	0	5	0
RSGB23-1_GCF-006175995-V1_GENO_10000001	5	Desulfobotulus mexicanus	Desulfobotulus	Desulfobacterota	RSGB23-1	NA			False	2.26	5	5	0	0
RSGB23-1_GCF-007830435-V1_GENO_10000001	5	Desulfobotulus alkaliphilus	Desulfobotulus	Desulfobacterota	RSGB23-1	NA			False	1.41	5	5	0	0
RSGB23-1_GCF-008711285-V1_GENO_10000001	5	Roseibium aquae	Roseibium	Pseudomonadota	RSGB23-1	NA			False	0.21	5	5	0	0
RSGB23-1_GCF-009177135-V1_GENO_10000001	5	Azospira oryzae	Azospira	Pseudomonadota	RSGB23-1	NA			False	1.11	5	5	0	0
RSGB23-1_GCF-009469615-V1_GENO_10000001	5	Azonexus sp009469615	Azonexus	Pseudomonadota	RSGB23-1	NA			False	0.71	5	5	0	0
RSGB23-1_GCF-009872365-V1_GENO_10000001	5	Rhodococcus_F sp009872365	Rhodococcus_F	Actinomycetota	RSGB23-1	NA			False	1.74	5	5	0	0
RSGB23-1_GCF-011683915-V1_GENO_10000001	5	Pelagibius litoralis	Pelagibius	Pseudomonadota	RSGB23-1	NA			False	1.41	5	5	0	0
RSGB23-1_GCF-013283055-V1_GENO_10000001	5	Aliiroseovarius crassostreae	Aliiroseovarius	Pseudomonadota	RSGB23-1	NA			False	0.4	5	5	0	0
RSGB23-1_GCF-900186965-V1_GENO_10000001	5	Legionella_C spiritensis	Legionella_C	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
SANC23-1_SAMEA110646508_MAG_00000041	5	Antarctobacter sp019392335	Antarctobacter	Pseudomonadota	SANC23-1	Seawater	-3.41053	-169.463	True	4.0	5	5	0	0
SANT17-1_SAMN02905733_MAG_00000083	5	Reyranella sp963923875	Reyranella	Pseudomonadota	SANT17-1	Freshwater river water	-3.86	-23.04	True	1.41	5	5	0	0
SATI15-1_SAMN03252821_MAG_00000039	5	Reyranella sp963923875	Reyranella	Pseudomonadota	SATI15-1	Freshwater river water	-2.48438	-55.0075	True	4.23	5	5	0	0
SATI15-1_SAMN03252824_MAG_00000015	5	Reyranella sp963923875	Reyranella	Pseudomonadota	SATI15-1	Freshwater river water	-2.48438	-55.0075	True	1.22	5	5	0	0
SCHR19-1_SAMN09405918_MAG_00000027	5	Sulfitobacter sp947497275	Sulfitobacter	Pseudomonadota	SCHR19-1	Seawater	53.80196	-128.833	True	0.64	5	5	0	0
SCHR19-1_SAMN09405945_MAG_00000001	5	Sulfitobacter sp947497275	Sulfitobacter	Pseudomonadota	SCHR19-1	Seawater	53.80196	-128.833	True	0.21	5	5	0	0
SCHR19-1_SAMN09405950_MAG_00000005	5	Sulfitobacter sp947497275	Sulfitobacter	Pseudomonadota	SCHR19-1	Seawater	53.80196	-128.833	True	2.5	5	5	0	0
SCHR19-1_SAMN09405953_MAG_00000013	5	Sulfitobacter sp947497275	Sulfitobacter	Pseudomonadota	SCHR19-1	Seawater	53.80196	-128.833	True	1.33	5	5	0	0
SCHR19-1_SAMN09406119_MAG_00000018	5	Unknown Neptunomonas	Neptunomonas	Pseudomonadota	SCHR19-1	Seawater	53.80196	-128.833	True	0.72	5	5	0	0
SCRA20-1_SAMN11854482_MAG_00000152	5	Unknown GCA-2731375	GCA-2731375	Pseudomonadota	SCRA20-1	Seawater	10.617	-65.167	True	2.82	5	4	1	0
SCRA20-1_SAMN11854489_MAG_00000118	5	Unknown JASMHC01	JASMHC01	Pseudomonadota	SCRA20-1	Seawater	10.617	-65.167	True	2.18	5	5	0	0
SHAF22-1_SAMEA7723491_MAG_00000003	5	Marinobacter manganoxydans	Marinobacter	Pseudomonadota	SHAF22-1	Marine sediment	46.68323	-11.6042	True	1.31	5	5	0	0
SHAF22-1_SAMEA7723957_MAG_00000006	5	Oceanibaculum nanhaiense	Oceanibaculum	Pseudomonadota	SHAF22-1	Marine sediment	46.68323	-11.6042	True	1.41	5	5	0	0
SHIN18-1_SAMEA104707374_MAG_00000089	5	Unknown JBFHNV01	JBFHNV01	Pseudomonadota	SHIN18-1	Marine sediment	35.03247	126.3901	True	7.94	5	5	0	0
SHIN18-1_SAMEA104707374_MAG_00000090	5	Unknown Thiosocius	Thiosocius	Pseudomonadota	SHIN18-1	Marine sediment	35.03247	126.3901	True	2.73	5	5	0	0
SHIN18-1_SAMEA104707375_MAG_00000052	5	Unknown JBFHNV01	JBFHNV01	Pseudomonadota	SHIN18-1	Marine sediment	35.06167	126.3005	True	1.41	5	5	0	0
SHIN18-1_SAMEA104707376_MAG_00000071	5	QNFN01 sp009937385	QNFN01	Pseudomonadota	SHIN18-1	Marine sediment	35.10478	126.3338	True	3.23	5	5	0	0
SOGI22-1_SAMEA6126158_MAG_00000014	5	Unknown JAKSDN01	Unknown JAKSDN01	Pseudomonadota	SOGI22-1	Marine sediment	42.8083	10.14289	True	2.82	5	5	0	0
SONG20-1_SAMN10739805_MAG_00000103	5	Unknown NVQY01	NVQY01	Pseudomonadota	SONG20-1	Marine sediment	37.33	126.59	True	6.41	5	5	0	0
SUHA22-1_SAMN20336539_MAG_00000059	5	Unknown Parasphingopyxis	Parasphingopyxis	Pseudomonadota	SUHA22-1	Seawater	10.98753	112.9924	True	0.07	5	5	0	0
SUMM22-1_SAMN21164839_MAG_00000003	5	Unknown Ga0077536	Unknown Ga0077536	Pseudomonadota	SUMM22-1	Animal bone biofilm	1.35	103.8	True	1.41	5	5	0	0
TAOJ22-1_SAMN27365854_MAG_00000071	5	Cereibacter_A ovatus	Cereibacter_A	Pseudomonadota	TAOJ22-1	Seawater	36.155	120.33	True	0.93	5	5	0	0
TAOJ22-1_SAMN27365860_MAG_00000024	5	Unknown Glaciecola	Glaciecola	Pseudomonadota	TAOJ22-1	Seawater	36.155	120.33	True	8.0	5	5	0	0
TARA_SAMEA2619625_MAG_00000009	5	UBA1479 sp963972065	UBA1479	Pseudomonadota	TOPC	Seawater	41.6686	2.7996	True	1.41	5	5	0	0
TARA_SAMEA2619815_MAG_00000038	5	UBA4479 sp963974935	UBA4479	Pseudomonadota	TOPC	Seawater	27.16	34.8033	True	1.03	5	5	0	0
TARA_SAMEA2620204_MAG_00000049	5	Novosphingobium indicum	Novosphingobium	Pseudomonadota	TOPC	Seawater	14.6059	70.0	True	0.55	5	5	0	0
TARA_SAMEA2621151_MAG_00000014	5	UBA1479 sp002325375	UBA1479	Pseudomonadota	TOPC	Seawater	-8.7789	-17.9098	True	0.62	5	5	0	0
TARA_SAMEA2621191_MAG_00000001	5	UBA1479 sp002325375	UBA1479	Pseudomonadota	TOPC	Seawater	-8.7986	-17.9142	True	0.0	5	5	0	0
TARA_SAMEA2621213_MAG_00000023	5	Hyphomonas sp002414505	Hyphomonas	Pseudomonadota	TOPC	Seawater	-20.9354	-35.3344	True	5.17	5	5	0	0
TARA_SAMEA2621229_MAG_00000023	5	UBA1479 sp002325375	UBA1479	Pseudomonadota	TOPC	Seawater	-21.0292	-35.3923	True	0.0	5	5	0	0
TARA_SAMEA2621498_MAG_00000018	5	Tistrella mobilis	Tistrella	Pseudomonadota	TOPC	Seawater	-60.2287	-60.5096	True	2.07	5	5	0	0
TARA_SAMEA2621791_MAG_00000143	5	Tistrella mobilis	Tistrella	Pseudomonadota	TOPC	Seawater	-34.0614	-73.0369	True	2.44	5	5	0	0
TARA_SAMEA2621854_MAG_00000048	5	Tistrella mobilis	Tistrella	Pseudomonadota	TOPC	Seawater	-31.4424	-93.9573	True	1.16	6	6	0	0
TARA_SAMEA2622128_MAG_00000010	5	Roseovarius sp002720475	Roseovarius	Pseudomonadota	TOPC	Seawater	-12.9723	-96.0932	True	2.26	5	5	0	0
TARA_SAMEA2622212_MAG_00000009	5	Novosphingobium indicum	Novosphingobium	Pseudomonadota	TOPC	Seawater	-5.261	-85.2995	True	1.14	5	5	0	0
TARA_SAMEA2622769_MAG_00000102	5	Roseovarius sp002720475	Roseovarius	Pseudomonadota	TOPC	Seawater	-9.1504	-140.528	True	1.16	5	4	1	0
TARA_SAMEA2623523_MAG_00000055	5	Sphingobium yanoikuyae_A	Sphingobium	Pseudomonadota	TOPC	Seawater	25.6236	-88.4085	True	2.56	5	5	0	0
TARA_SAMEA2623523_MAG_00000096	5	UBA1479 sp913030825	UBA1479	Pseudomonadota	TOPC	Seawater	25.6236	-88.4085	True	1.41	5	5	0	0
TARA_SAMEA4397023_MAG_00000036	5	Nisaea sp963974195	Nisaea	Pseudomonadota	TOPC	Seawater	67.1675	0.3537	True	0.0	5	5	0	0
TARA_SAMEA4397118_MAG_00000086	5	Sphingobium sp000588875	Sphingobium	Pseudomonadota	TOPC	Seawater	72.5128	44.1569	True	0.15	5	5	0	0
TARA_SAMEA4397174_MAG_00000080	5	UBA4479 sp963974935	UBA4479	Pseudomonadota	TOPC	Seawater	72.5432	44.1735	True	1.49	5	5	0	0
TARA_SAMEA4397215_MAG_00000092	5	JACKII01 sp963974445	JACKII01	Pseudomonadota	TOPC	Seawater	72.5199	44.0932	True	1.24	5	5	0	0
TARA_SAMEA4397255_MAG_00000045	5	CAXBJY01 sp963976285	CAXBJY01	Pseudomonadota	TOPC	Seawater	78.9564	79.2246	True	4.57	5	5	0	0
TARA_SAMEA4397255_MAG_00000055	5	UBA4479 sp963974935	UBA4479	Pseudomonadota	TOPC	Seawater	78.9564	79.2246	True	1.49	5	5	0	0
TARA_SAMEA4397295_MAG_00000013	5	CAXBJY01 sp963976285	CAXBJY01	Pseudomonadota	TOPC	Seawater	78.9354	79.0913	True	4.82	5	5	0	0
TARA_SAMEA4397330_MAG_00000107	5	Sulfitobacter sp963976125	Sulfitobacter	Pseudomonadota	TOPC	Seawater	79.2233	66.5078	True	0.4	5	5	0	0
TARA_SAMEA4397409_MAG_00000051	5	Sulfitobacter sp963976125	Sulfitobacter	Pseudomonadota	TOPC	Seawater	79.3349	66.1855	True	0.4	5	5	0	0
TARA_SAMEA4397815_MAG_00000046	5	UBA1479 sp963976055	UBA1479	Pseudomonadota	TOPC	Seawater	71.0704	174.9916	True	0.0	6	6	0	0
TARA_SAMEA4397920_MAG_00000002	5	Sphingobium sp000588875	Sphingobium	Pseudomonadota	TOPC	Seawater	73.3275	-168.903	True	0.0	5	5	0	0
TARA_SAMEA4397948_MAG_00000040	5	UBA1479 sp963976055	UBA1479	Pseudomonadota	TOPC	Seawater	71.8895	-154.937	True	0.0	6	6	0	0
TARA_SAMEA4398027_MAG_00000025	5	Vreelandella glaciei	Vreelandella	Pseudomonadota	TOPC	Seawater	74.2987	-85.9117	True	1.87	5	5	0	0
TARA_SAMEA4398387_MAG_00000004	5	JACKII01 sp963974445	JACKII01	Pseudomonadota	TOPC	Seawater	61.5427	-55.9973	True	2.82	5	5	0	0
TARA_SAMEA4398387_MAG_00000149	5	CAXBJY01 sp963976285	CAXBJY01	Pseudomonadota	TOPC	Seawater	61.5427	-55.9973	True	5.48	5	5	0	0
TARA_SAMEA6003996_MAG_00000107	5	Hyphococcus sp002704915	Hyphococcus	Pseudomonadota	TPAC	Seawater	-17.5184	-149.924	True	2.05	5	5	0	0
TARA_SAMEA6004479_MAG_00000153	5	Marinobacter manganoxydans	Marinobacter	Pseudomonadota	TPAC	Seawater	-17.4897	-149.755	True	1.41	5	5	0	0
TARA_SAMEA6017928_MAG_00000057	5	Unknown JAAAPF01	JAAAPF01	Pseudomonadota	TPAC	Hydrozoa tissue	26.65487	127.866	True	0.25	5	5	0	0
TARA_SAMEA6019342_MAG_00000136	5	CAXBJY01 sp963976285	CAXBJY01	Pseudomonadota	TPAC	Seawater	-17.3678	177.1313	True	2.82	5	5	0	0
TREM17-1_SAMN05416776_MAG_00000008	5	Vreelandella sp002366715	Vreelandella	Pseudomonadota	TREM17-1	Seawater	46.707	-48.785	True	1.75	5	5	0	0
TREM17-1_SAMN05416780_MAG_00000010	5	Vreelandella sp002366715	Vreelandella	Pseudomonadota	TREM17-1	Seawater	46.707	-48.785	True	0.0	5	5	0	0
WANG22-1_SAMN08714533-S077_MAG_00000072	5	Unknown Novosphingobium	Novosphingobium	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.04	True	1.54	5	5	0	0
WANG22-1_SAMN08714533-S082_MAG_00000053	5	Unknown Novosphingobium	Novosphingobium	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.04	True	1.88	5	5	0	0
WANG22-1_SAMN08714533-S083_MAG_00000056	5	Unknown Novosphingobium	Novosphingobium	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.04	True	1.88	5	5	0	0
WANG22-1_SAMN08714533-S105_MAG_00000010	5	Blastomonas delafieldii_A	Blastomonas	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.04	True	2.35	5	5	0	0
WANG22-1_SAMN08714533-S110_MAG_00000063	5	Unknown JACOMY01	Unknown JACOMY01	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.05	True	0.47	5	5	0	0
WANG22-1_SAMN08714533-S113_MAG_00000047	5	Unknown JACOMY01	Unknown JACOMY01	Pseudomonadota	WANG22-1	Marine biofilm	22.2	39.05	True	0.8	5	5	0	0
ZHAN22-5_SAMN24541642_MAG_00000011	5	Spectribacter hydrogenooxidans	Spectribacter	Pseudomonadota	ZHAN22-5	Seawater	-62.23	-58.93	True	0.0	5	5	0	0
ZHEN15-1_SAMN22350792_MAG_00000039	5	Unknown Pseudohalocynthiibacter	Pseudohalocynthiibacter	Pseudomonadota	ZHEN15-1	Estuarine sediment	33.82	120.47	True	2.84	5	5	0	0
ZHEN15-1_SAMN22350798_MAG_00000023	5	Unknown Rhodobacteraceae	Unknown Rhodobacteraceae	Pseudomonadota	ZHEN15-1	Estuarine sediment	30.95	121.91	True	1.22	5	5	0	0
ZHEN22-1_SAMN12826204_MAG_00000194	5	Unknown JACKNG01	JACKNG01	Pseudomonadota	ZHEN22-1	Marine sediment	-34.97	54.21	True	0.0	5	5	0	0
