target_id	genome	evidence_tier	protein_length	ref_accession	ref_length	pident	alnlen	evalue	qcov	tcov	length_ratio_query_to_ref
OMDBv2.0_AA_G_NR100_000075383500	KOBI21-1_SAMD00080296_MAG_00000017	Catalytic triad complete	598	A0A1L9NWF2	597	84.400	597	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000154303189	RUSA22-1_SAMN23283062_MAG_00000004	Catalytic triad complete	610	A0ABW3WB96	607	56.700	594	3.685E-228	0.974	0.969	1.0049
OMDBv2.0_AA_G_NR100_000175572159	SUMM22-1_SAMN21164855_MAG_00000002	Catalytic triad complete	398	A0A1I3V217	568	78.000	396	6.022E-219	0.995	0.695	0.7007
OMDBv2.0_AA_G_NR100_000182329997	TAOJ22-1_SAMN27365862_MAG_00000037	Catalytic triad complete	570	A0A1I3V217	568	70.400	564	2.073E-273	0.989	0.993	1.0035
OMDBv2.0_AA_G_NR100_000037276062	CAOS20-1_SAMN13674977-S010_MAG_00000027	Catalytic triad complete	446	Q5P962	809	44.500	441	9.545E-115	0.971	0.545	0.5513
OMDBv2.0_AA_G_NR100_000199384174	TARA_SAMEA4397215_MAG_00000153	Catalytic triad complete	585	D8IXL9	832	45.200	579	6.124E-147	0.971	0.696	0.7031
OMDBv2.0_AA_G_NR100_000172882169	SONG20-1_SAMN10739805_MAG_00000103	Catalytic triad complete	593	Q5P962	809	45.300	543	1.672E-144	0.909	0.671	0.7330
OMDBv2.0_AA_G_NR100_000032124277	GLAS20-1_SAMN13567173_MAG_00000050	Catalytic triad complete	312	A0A8G2BML8	600	64.700	308	2.105E-139	0.987	0.513	0.5200
OMDBv2.0_AA_G_NR100_000106012124	MORG22-1_SAMN09064976_MAG_00000091	Catalytic triad complete	598	A0A8G2BML8	600	60.800	581	5.634E-240	0.972	0.965	0.9967
OMDBv2.0_AA_G_NR100_000116287662	PANK22-1_SAMN12290170_MAG_00000021	Catalytic triad complete	596	A0A212QUP8	600	56.400	546	5.164E-204	0.916	0.910	0.9933
OMDBv2.0_AA_G_NR100_000122101794	PANK22-1_SAMN12291264_MAG_00000035	Catalytic triad complete	606	A0A212QUP8	600	56.200	546	9.582E-203	0.901	0.910	1.0100
OMDBv2.0_AA_G_NR100_000206636678	TARA_SAMEA6004291_MAG_00000037	Catalytic triad complete	813	Q5P962	809	43.500	656	2.717E-163	0.795	0.811	1.0049
OMDBv2.0_AA_G_NR100_000153817609	RSGB23-1_GCF-902459565-V1_GENO_10000001	Catalytic triad complete	818	Q5P962	809	52.900	719	9.672E-240	0.872	0.889	1.0111
OMDBv2.0_AA_G_NR100_000137083763	RSGB23-1_GCF-000154705-V2_GENO_10000001	Catalytic triad complete	428	A0ABS7UTL6	348	22.100	327	2.638E-08	0.764	0.894	1.2299
OMDBv2.0_AA_G_NR100_000155683475	SANC23-1_SAMEA110646476_MAG_00000071	Catalytic triad complete	137	A0A369QCY8	562	79.400	136	1.018E-77	0.993	0.242	0.2438
OMDBv2.0_AA_G_NR100_000156881445	SANC23-1_SAMEA110646495_MAG_00000018	Catalytic triad complete	565	A0ABQ1F8F0	561	83.100	564	4.941E-324	0.998	1.000	1.0071
OMDBv2.0_AA_G_NR100_000106685834	NAPP22-1_SAMN15346751_MAG_00000028	Catalytic triad complete	573	A0ABQ1JN96	568	80.900	572	0.000E+00	0.998	1.000	1.0088
OMDBv2.0_AA_G_NR100_000191101893	TARA_SAMEA2622067_MAG_00000012	Catalytic triad complete	340	Q2N9U1	561	86.300	337	1.232E-201	0.991	0.597	0.6061
OMDBv2.0_AA_G_NR100_000054571558	LUOE20-1_SAMN25283047-S001_MAG_00000050	Catalytic triad complete	563	Q2N9U1	561	85.300	558	0.000E+00	0.991	0.991	1.0036
OMDBv2.0_AA_G_NR100_000156713718	SANC23-1_SAMEA110646491_MAG_00000104	Catalytic triad complete	563	Q2N9U1	561	85.400	558	0.000E+00	0.991	0.991	1.0036
OMDBv2.0_AA_G_NR100_000229841855	WANG22-1_SAMN08714533-S097_MAG_00000066	Catalytic triad complete	563	Q2N9U1	561	83.400	556	5.171E-320	0.988	0.988	1.0036
OMDBv2.0_AA_G_NR100_000105299029	MEYE16-2_SAMN03458689_MAG_00000014	Catalytic triad complete	510	Q2N9U1	561	88.900	488	3.901E-297	0.957	0.870	0.9091
OMDBv2.0_AA_G_NR100_000245975374	ZHEN20-1_SAMN07748058_MAG_00000033	Catalytic triad complete	563	Q2N9U1	561	86.600	556	0.000E+00	0.988	0.988	1.0036
OMDBv2.0_AA_G_NR100_000159840779	SATI15-1_SAMN02628411_MAG_00000009	Catalytic triad complete	565	A0A562UXA6	564	88.100	564	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000139696037	RSGB23-1_GCF-000714765-V1_GENO_10000001	Catalytic triad complete	566	A0ACD8CRI4	565	90.900	565	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000236517213	XUSH22-1_SAMN16869661_MAG_00000057	Catalytic triad complete	849	Q5P962	809	35.700	727	8.805E-147	0.856	0.857	1.0494
OMDBv2.0_AA_G_NR100_000123365115	PANK22-1_SAMN12291529_MAG_00000032	Catalytic triad complete	378	A0A1G9AZI5	600	63.900	372	3.620E-172	0.984	0.620	0.6300
OMDBv2.0_AA_G_NR100_000123202972	PANK22-1_SAMN12291463_MAG_00000027	Catalytic triad complete	598	A0ABV3XNH1	597	61.100	584	1.051E-242	0.973	0.978	1.0017
OMDBv2.0_AA_G_NR100_000043701622	CHAS20-1_SAMN14350117_MAG_00000051	Catalytic triad complete	495	Q5P962	809	38.700	473	4.614E-89	0.933	0.585	0.6119
OMDBv2.0_AA_G_NR100_000226015101	TSEM16-1_SAMN03943731_MAG_00000156	Catalytic triad complete	844	Q5P962	809	41.100	695	2.514E-157	0.813	0.859	1.0433
OMDBv2.0_AA_G_NR100_000006257608	ASPL16-1_SAMN05150081_MAG_00000055	Catalytic triad complete	435	Q5P962	809	39.800	345	5.085E-74	0.793	0.425	0.5377
OMDBv2.0_AA_G_NR100_000229970563	WANG22-1_SAMN08714533-S100_MAG_00000034	Catalytic triad complete	875	Q5P962	809	74.900	715	0.000E+00	0.816	0.884	1.0816
OMDBv2.0_AA_G_NR100_000059656054	FUCH22-1_SAMN21575214_MAG_00000028	Catalytic triad complete	669	Q5P962	809	72.500	601	2.002E-298	0.895	0.743	0.8269
OMDBv2.0_AA_G_NR100_000000601933	TARA_SAMEA2619505_MAG_00000049	Catalytic triad complete	814	Q5P962	809	73.800	734	0.000E+00	0.899	0.907	1.0062
OMDBv2.0_AA_G_NR100_000187796790	TARA_SAMEA2622678_MAG_00000055	Catalytic triad complete	814	Q5P962	809	74.100	730	0.000E+00	0.894	0.902	1.0062
OMDBv2.0_AA_G_NR100_000140494291	TARA_SAMEA4397722_MAG_00000069	Catalytic triad complete	848	Q5P962	809	74.700	720	0.000E+00	0.849	0.890	1.0482
OMDBv2.0_AA_G_NR100_000225329635	TREM17-1_SAMN05416840_MAG_00000019	Catalytic triad complete	910	Q5P962	809	74.600	727	0.000E+00	0.799	0.899	1.1248
OMDBv2.0_AA_G_NR100_000139894553	RSGB23-1_GCF-000758175-V1_GENO_10000001	Catalytic triad complete	865	Q5P962	809	76.900	729	0.000E+00	0.843	0.896	1.0692
OMDBv2.0_AA_G_NR100_000005443683	ALNE20-1_SAMEA6236727_MAG_00000038	Catalytic triad complete	600	A0A286GR83	599	63.800	580	3.111E-264	0.967	0.968	1.0017
OMDBv2.0_AA_G_NR100_000077437366	KOPF15-1_SAMEA7422968_MAG_00000086	Catalytic triad complete	598	A0A1M5PDU5	597	87.900	597	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000129166305	REYS20-1_SAMN12239315_MAG_00000016	Catalytic triad complete	465	A0A1Y5RGX7	600	71.100	461	6.578E-237	0.991	0.768	0.7750
OMDBv2.0_AA_G_NR100_000044877888	CHEN21-1_SAMN18835368-S003_MAG_00000081	Catalytic triad complete	450	A0A8G2BML8	600	69.700	449	1.565E-223	0.998	0.745	0.7500
OMDBv2.0_AA_G_NR100_000097541751	LUOE20-1_SAMN25283081-S001_MAG_00000013	Catalytic triad complete	602	A0A967C673	601	67.600	596	1.260E-279	0.990	0.978	1.0017
OMDBv2.0_AA_G_NR100_000123133898	PANK22-1_SAMN12291462_MAG_00000036	HMM-supported (no triad)	152	B6IMP7	597	61.100	144	7.293E-60	0.947	0.241	0.2546
OMDBv2.0_AA_G_NR100_000100787313	LUOR22-1_SAMEA13322683_MAG_00000055	Catalytic triad complete	555	B6IMP7	597	54.500	546	1.420E-208	0.984	0.915	0.9296
OMDBv2.0_AA_G_NR100_000122233957	PANK22-1_SAMN12291266_MAG_00000044	Catalytic triad complete	598	B6IMP7	597	54.600	547	2.199E-207	0.915	0.916	1.0017
OMDBv2.0_AA_G_NR100_000119398702	PANK22-1_SAMN12290844_MAG_00000019	Catalytic triad complete	611	A0ABU1JHK2	607	54.300	546	3.013E-202	0.894	0.900	1.0066
OMDBv2.0_AA_G_NR100_000209009309	TARA_SAMEA6008964_MAG_00000219	Catalytic triad complete	362	A0A4R7NID1	618	88.900	361	1.828E-227	0.997	0.583	0.5858
OMDBv2.0_AA_G_NR100_000148229371	RSGB23-1_GCF-004551485-V1_GENO_10000001	Catalytic triad complete	613	A0A7V9W1E5	612	88.600	606	0.000E+00	0.989	0.990	1.0016
OMDBv2.0_AA_G_NR100_000218915715	TARA_SAMEA6038428_MAG_00000175	Catalytic triad complete	618	A0ABQ6XDS0	617	97.400	617	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000137674691	RSGB23-1_GCF-000236035-V1_GENO_10000001	Catalytic triad complete	652	A0A7Z0RY08	635	90.400	651	0.000E+00	0.998	1.000	1.0268
OMDBv2.0_AA_G_NR100_000054594262	DUAR15-1_SAMN06264751_MAG_00000001	Catalytic triad complete	617	A0A1H0HSY1	606	80.500	611	0.000E+00	0.990	0.998	1.0182
OMDBv2.0_AA_G_NR100_000000932916	SANC23-1_SAMEA110646475_MAG_00000063	Catalytic triad complete	617	A0A1H0HSY1	606	80.000	611	0.000E+00	0.990	0.998	1.0182
OMDBv2.0_AA_G_NR100_000202470853	TARA_SAMEA4397948_MAG_00000019	Catalytic triad complete	414	A0A1M5ESL0	593	72.600	411	2.097E-201	0.993	0.691	0.6981
OMDBv2.0_AA_G_NR100_000192355360	TARA_SAMEA2622517_MAG_00000028	Catalytic triad complete	240	A0A1V0RQH7	612	85.600	202	7.877E-118	0.842	0.330	0.3922
OMDBv2.0_AA_G_NR100_000013733074	BEMA21-1_SAMN15000295_MAG_00000005	HMM-supported (no triad)	238	A0A2Z2NZX7	603	64.500	237	2.804E-105	0.996	0.393	0.3947
OMDBv2.0_AA_G_NR100_000166440692	SHIN18-1_SAMEA104707364_MAG_00000012	HMM-supported (no triad)	80	A0AAE3G372	596	61.800	76	2.143E-31	0.950	0.128	0.1342
OMDBv2.0_AA_G_NR100_000235903497	WIND23-1_Gp0561270-S001_MAG_00000201	Catalytic triad complete	600	A0A967C673	601	62.000	600	2.272E-264	0.995	0.998	0.9983
OMDBv2.0_AA_G_NR100_000063713286	HARO18-2_SAMN10839292_MAG_00000079	Catalytic triad complete	599	A0A967C673	601	62.100	576	3.714E-260	0.957	0.958	0.9967
OMDBv2.0_AA_G_NR100_000004078778	ALNE20-1_SAMEA6236690_MAG_00000018	Catalytic triad complete	231	A0A1G6IBR8	628	72.200	230	2.591E-114	0.996	0.366	0.3678
OMDBv2.0_AA_G_NR100_000188227310	TARA_SAMEA2621045_MAG_00000140	Catalytic triad complete	633	A0A1G7NPL9	600	44.200	512	7.615E-147	0.809	0.852	1.0550
OMDBv2.0_AA_G_NR100_000193099263	TARA_SAMEA2622685_MAG_00000009	HMM-supported (no triad)	160	A0ACH2XDR8	610	66.200	157	2.742E-76	0.981	0.256	0.2623
OMDBv2.0_AA_G_NR100_000245261106	ZHEN15-1_SAMN22350792_MAG_00000004	Catalytic triad complete	662	A0A840XMK5	600	44.200	546	1.289E-152	0.825	0.892	1.1033
OMDBv2.0_AA_G_NR100_000187112954	TARA_SAMEA2620503_MAG_00000006	Catalytic triad complete	483	A0A1H7NG13	600	80.200	466	3.203E-266	0.965	0.775	0.8050
OMDBv2.0_AA_G_NR100_000036271455	BRYA16-1_SAMN04849749-S002_MAG_00000023	Catalytic triad complete	602	A0A0L6CUM0	601	75.500	599	9.471E-321	0.995	0.997	1.0017
OMDBv2.0_AA_G_NR100_000229022511	WANG22-1_SAMN08714533-S086_MAG_00000024	Catalytic triad complete	617	A0A1X6ZAQ0	600	72.500	600	2.112E-315	0.972	1.000	1.0283
OMDBv2.0_AA_G_NR100_000170062368	SILV23-1_SAMEA8700010_MAG_00000021	Catalytic triad complete	609	A0A1H7NG13	600	73.400	606	3.794E-315	0.995	0.997	1.0150
OMDBv2.0_AA_G_NR100_000059716304	FUCH22-1_SAMN21575215_MAG_00000061	Catalytic triad complete	610	A0A1Y5SQJ2	597	55.700	591	5.569E-217	0.956	0.990	1.0218
OMDBv2.0_AA_G_NR100_000165444783	SHAF22-1_SAMEA7723481_MAG_00000004	Catalytic triad complete	626	A0ACH4G603	608	60.400	602	2.788E-252	0.952	0.990	1.0296
OMDBv2.0_AA_G_NR100_000234090041	WIND23-1_Gp0561258-S001_MAG_00000186	Catalytic triad complete	578	G4QN86	577	76.000	577	1.624E-311	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000070114610	KAGO19-1_SAMD00073909_MAG_00000009	Catalytic triad complete	577	G4QN86	577	71.800	571	4.012E-289	0.990	0.990	1.0000
OMDBv2.0_AA_G_NR100_000147457591	RSGB23-1_GCF-004004515-V1_GENO_10000001	Catalytic triad complete	668	A0A7W7AAR7	630	62.000	580	2.252E-242	0.868	0.914	1.0603
OMDBv2.0_AA_G_NR100_000053959872	DONG22-1_SAMN19687759_MAG_00000011	Catalytic triad complete	502	A0ABP9R5R9	576	42.100	478	8.465E-120	0.952	0.811	0.8715
OMDBv2.0_AA_G_NR100_000054267702	DRIS22-1_SAMN24661215_MAG_00000014	Catalytic triad complete	410	A0A0K8MDT7	380	30.400	311	2.671E-20	0.759	0.771	1.0789
OMDBv2.0_AA_G_NR100_000155725371	SANC23-1_SAMEA110646477_MAG_00000095	Catalytic triad complete	407	A0A0K8MDT7	380	26.200	338	1.098E-19	0.830	0.853	1.0711
OMDBv2.0_AA_G_NR100_000071926911	KELL22-1_SAMN22237330_MAG_00000035	Catalytic triad complete	519	A0A7Z0TYL9	355	33.900	309	7.371E-43	0.590	0.870	1.4620
OMDBv2.0_AA_G_NR100_000246026008	ZHEN20-1_SAMN07748058_MAG_00000156	Catalytic triad complete	519	A0A0K8MDT7	380	28.200	337	2.132E-23	0.649	0.871	1.3658
OMDBv2.0_AA_G_NR100_000230182996	WANG22-1_SAMN08714533-S104_MAG_00000103	Catalytic triad complete	334	H8FTL3	602	41.000	333	3.921E-84	0.988	0.553	0.5548
OMDBv2.0_AA_G_NR100_000076683568	KOPF15-1_SAMEA3275567_MAG_00000002	Catalytic triad complete	491	A0ABU1JHK2	607	42.700	417	2.028E-106	0.839	0.687	0.8089
OMDBv2.0_AA_G_NR100_000063009615	TARA_SAMEA2619531_MAG_00000173	Catalytic triad complete	533	A0ABU1JHK2	607	43.800	417	4.505E-108	0.773	0.687	0.8781
OMDBv2.0_AA_G_NR100_000076451258	KOPF15-1_SAMEA7422972_MAG_00000113	Catalytic triad complete	533	A0ABU1JHK2	607	42.700	417	1.218E-105	0.773	0.687	0.8781
OMDBv2.0_AA_G_NR100_000082554920	KOPF15-1_SAMEA7422978_MAG_00000092	Catalytic triad complete	533	A0ABU1JHK2	607	42.800	417	2.269E-105	0.773	0.687	0.8781
OMDBv2.0_AA_G_NR100_000181842013	TAOJ22-1_SAMN27365859_MAG_00000289	Catalytic triad complete	533	A0A431VKS2	599	35.600	564	1.012E-106	0.968	0.942	0.8898
OMDBv2.0_AA_G_NR100_000216789845	TARA_SAMEA6031464_MAG_00000078	Catalytic triad complete	533	A0A1Y5T2K3	599	41.300	423	1.074E-104	0.788	0.706	0.8898
OMDBv2.0_AA_G_NR100_000231785520	WANG22-1_SAMN08714628-S001_MAG_00000331	Catalytic triad complete	533	H8FTL3	602	41.100	416	2.914E-107	0.771	0.691	0.8854
OMDBv2.0_AA_G_NR100_000183514039	TARA_SAMEA2591103_MAG_00000155	Catalytic triad complete	536	A0ABQ5YPY7	604	53.100	527	5.195E-192	0.957	0.873	0.8874
OMDBv2.0_AA_G_NR100_000234680630	WIND23-1_Gp0561262-S001_MAG_00000100	Catalytic triad complete	536	A0A1H3E2W9	384	56.200	389	3.766E-129	0.726	1.000	1.3958
OMDBv2.0_AA_G_NR100_000005090086	ALNE20-1_SAMEA6236712_MAG_00000022	Catalytic triad complete	538	A0ABU1ZJ09	577	59.000	520	1.606E-201	0.963	0.901	0.9324
OMDBv2.0_AA_G_NR100_000178746040	SUTE22-1_SAMN10231914_MAG_00000166	Catalytic triad complete	535	A0AAC8TD44	379	34.800	319	3.520E-68	0.596	0.828	1.4116
OMDBv2.0_AA_G_NR100_000004617965	ALNE20-1_SAMEA6236699_MAG_00000092	Catalytic triad complete	534	F6M9V0	564	58.800	514	1.204E-212	0.961	0.911	0.9468
OMDBv2.0_AA_G_NR100_000159431538	SATI15-1_SAMN03252814_MAG_00000003	Catalytic triad complete	544	A0ABN9JLA2	598	66.700	538	9.151E-243	0.989	0.900	0.9097
OMDBv2.0_AA_G_NR100_000178489622	SUTE22-1_SAMN10231911_MAG_00000111	HMM-supported (no triad)	161	I3D2C6	354	82.500	160	1.125E-93	0.994	0.452	0.4548
OMDBv2.0_AA_G_NR100_000119772214	PANK22-1_SAMN12290873_MAG_00000054	Catalytic triad complete	257	I3D2C6	354	78.800	255	5.815E-146	0.992	0.720	0.7260
OMDBv2.0_AA_G_NR100_000120631755	PANK22-1_SAMN12291128_MAG_00000113	Catalytic triad complete	354	I3D2C6	354	71.200	348	6.870E-183	0.983	0.983	1.0000
OMDBv2.0_AA_G_NR100_000037104393	CAOS20-1_SAMN13674977-S017_MAG_00000089	Catalytic triad complete	355	I3D2C6	354	89.500	354	2.866E-222	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000095295041	SAWJ20-1_SAMD00080443_MAG_00000032	Catalytic triad complete	355	A0A2S2KSF1	354	89.800	354	3.158E-223	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000120658228	PANK22-1_SAMN12291129_MAG_00000013	Catalytic triad complete	355	I3D2C6	354	72.600	347	2.738E-186	0.977	0.980	1.0028
OMDBv2.0_AA_G_NR100_000172646347	SONG20-1_SAMN08290291_MAG_00000032	Catalytic triad complete	355	I3D2C6	354	94.900	354	6.691E-234	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000110291302	NGUY21-1_SAMN17524325_MAG_00000186	Catalytic triad complete	356	I3D2C6	354	73.700	354	1.229E-187	0.994	1.000	1.0056
OMDBv2.0_AA_G_NR100_000015843995	BILL18-1_SAMN07136579_MAG_00000021	HMM-supported (no triad)	128	I3D2C6	354	77.600	125	7.479E-69	0.977	0.353	0.3616
OMDBv2.0_AA_G_NR100_000009111748	ATLA15-1_SAMN03981661-S001_MAG_00000088	Catalytic triad complete	355	I3D2C6	354	99.400	354	4.989E-244	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000064319665	HAWL17-1_SAMN05224482_MAG_00000150	Catalytic triad complete	355	I3D2C6	354	86.400	354	1.600E-216	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000145453123	RSGB23-1_GCF-003175215-V1_GENO_10000001	Catalytic triad complete	355	A0A2S2KSF1	354	100.000	354	1.166E-242	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000224122710	TARA_SAMEA6053616_MAG_00000013	Catalytic triad complete	355	A0A081RQ39	354	81.900	354	1.007E-208	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000011789216	BAEC19-1_SAMN10404972_MAG_00000131	Catalytic triad complete	357	I3D2C6	354	80.600	351	3.983E-205	0.983	0.992	1.0085
OMDBv2.0_AA_G_NR100_000152590793	RSGB23-1_GCF-016807785-V1_GENO_10000001	Catalytic triad complete	544	A0ABY4NKQ5	543	96.300	543	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000151625594	RSGB23-1_GCF-013364335-V1_GENO_10000001	Catalytic triad complete	544	A0ABT1HZR5	535	55.900	483	5.092E-171	0.888	0.895	1.0168
OMDBv2.0_AA_G_NR100_000144812836	RSGB23-1_GCF-003008555-V2_GENO_10000001	Catalytic triad complete	545	A0A1H4FVD3	544	67.300	542	9.606E-268	0.994	0.996	1.0018
OMDBv2.0_AA_G_NR100_000132233859	RSGB23-1_GCA-016966195-V1_GENO_10000001	Catalytic triad complete	332	Q7VZ00	545	97.200	328	5.233E-210	0.988	0.602	0.6092
OMDBv2.0_AA_G_NR100_000011074162	ATLA15-1_SAMN03981678-S001_MAG_00000110	Catalytic triad complete	548	A0A840RIT1	570	43.300	493	8.658E-135	0.900	0.856	0.9614
OMDBv2.0_AA_G_NR100_000188672679	TARA_SAMEA2622738_MAG_00000047	Catalytic triad complete	544	A0ABP9ZSZ9	543	60.200	542	1.838E-215	0.996	0.998	1.0018
OMDBv2.0_AA_G_NR100_000182210547	TAOJ22-1_SAMN27365862_MAG_00000268	Catalytic triad complete	549	A0A2T6BCL6	548	81.200	548	1.728E-309	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000141986694	RSGB23-1_GCF-002082905-V2_GENO_10000001	Catalytic triad complete	553	Q5P962	809	41.800	542	1.044E-134	0.980	0.670	0.6836
OMDBv2.0_AA_G_NR100_000153089506	RSGB23-1_GCF-018687475-V1_GENO_10000001	Catalytic triad complete	539	A0ABM8CM80	545	71.400	535	3.162E-269	0.993	0.982	0.9890
OMDBv2.0_AA_G_NR100_000153109916	RSGB23-1_GCF-018687735-V1_GENO_10000001	Catalytic triad complete	544	A0ABM8CM80	545	93.600	539	0.000E+00	0.991	0.989	0.9982
OMDBv2.0_AA_G_NR100_000003336308	ALNE18-1_SAMEA104408692_MAG_00000019	Catalytic triad complete	555	A0ABQ4Q1U5	576	40.900	535	1.419E-136	0.964	0.929	0.9635
OMDBv2.0_AA_G_NR100_000084350450	SOLA22-1_SAMEA7060515_MAG_00000045	Catalytic triad complete	555	A0ABQ4Q1U5	576	41.300	535	1.788E-138	0.964	0.929	0.9635
OMDBv2.0_AA_G_NR100_000129513619	ROBB21-1_SAMN13943197_MAG_00000037	Catalytic triad complete	555	A0A916N265	571	48.800	540	5.802E-171	0.973	0.942	0.9720
OMDBv2.0_AA_G_NR100_000163045813	SCHR19-1_SAMN09406082_MAG_00000012	Catalytic triad complete	413	A0A2T0XK91	536	63.400	411	6.242E-184	0.993	0.767	0.7705
OMDBv2.0_AA_G_NR100_000166129144	SHIN18-1_SAMEA104707361_MAG_00000157	Catalytic triad complete	555	A0A7U7I757	563	47.000	540	1.845E-172	0.973	0.957	0.9858
OMDBv2.0_AA_G_NR100_000088479212	LIUR22-1_SAMN17320297_MAG_00000172	HMM-supported (no triad)	114	Q2N9U1	561	49.500	117	2.245E-35	0.991	0.209	0.2032
OMDBv2.0_AA_G_NR100_000105253750	MEYE16-2_SAMN03458688_MAG_00000029	Catalytic triad complete	561	A0A8J3CRQ2	559	56.700	559	2.217E-225	0.996	0.998	1.0036
OMDBv2.0_AA_G_NR100_000144551018	RSGB23-1_GCF-003205475-V1_GENO_10000001	Catalytic triad complete	561	A0A7W2PWH2	560	96.200	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000111586471	NOWI19-1_SAMN09201541_MAG_00000092	Catalytic triad complete	561	A0A7G5DQJ2	560	86.400	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000181491471	TAOJ22-1_SAMN27365856_MAG_00000027	Catalytic triad complete	562	A0ABU1ZAQ4	560	88.900	561	0.000E+00	0.998	1.000	1.0036
OMDBv2.0_AA_G_NR100_000037024171	CAOS20-1_SAMN13674977-S013_MAG_00000053	Catalytic triad complete	561	A0A4Z0B5Y4	560	97.100	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000144236293	RSGB23-1_GCF-002901545-V1_GENO_10000001	Catalytic triad complete	561	A0A7X1GCE7	560	92.100	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000201933470	TARA_SAMEA4397666_MAG_00000037	Catalytic triad complete	561	A0ABT5N9H0	560	97.800	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000102585435	RUSA22-1_SAMN23283059_MAG_00000035	Catalytic triad complete	561	A0AB37ZAR8	560	98.000	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000148197836	RSGB23-1_GCF-004521985-V1_GENO_10000001	Catalytic triad complete	561	A0A7G5DQJ2	560	94.200	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000232236925	WANG22-1_SAMN08714628-S004_MAG_00000036	Catalytic triad complete	561	A0A7G5DQJ2	560	94.400	560	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000191855555	TARA_SAMEA2622325_MAG_00000075	Catalytic triad complete	563	A0A1I7C8L8	593	50.300	521	3.883E-173	0.920	0.879	0.9494
OMDBv2.0_AA_G_NR100_000162550539	SCHR19-1_SAMN09406038_MAG_00000004	Catalytic triad complete	561	A0A2P2E8P5	562	66.300	552	1.494E-255	0.984	0.982	0.9982
OMDBv2.0_AA_G_NR100_000131926276	RSGB23-1_GCA-003712015-V2_GENO_10000001	Catalytic triad complete	524	A0A239LEL8	559	87.700	523	0.000E+00	0.998	0.936	0.9374
OMDBv2.0_AA_G_NR100_000131741336	RSGB23-1_GCA-003061245-V1_GENO_10000001	Catalytic triad complete	560	A0A923F3D5	559	95.500	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000143518390	RSGB23-1_GCF-002883455-V1_GENO_10000001	Catalytic triad complete	560	Q8VV58	559	98.500	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000145016142	RSGB23-1_GCF-003053385-V1_GENO_10000001	Catalytic triad complete	560	P26494	559	97.600	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000149742510	WIND23-1_Gp0561264-S001_MAG_00000142	Catalytic triad complete	560	A0A0R3AGI9	559	96.900	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000202242184	TARA_SAMEA4397859_MAG_00000021	Catalytic triad complete	560	A0A1H4X1T6	559	94.800	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000218130522	TARA_SAMEA6036003_MAG_00000100	Catalytic triad complete	269	A0AAQ1JQI9	560	94.000	268	5.504E-179	0.996	0.479	0.4804
OMDBv2.0_AA_G_NR100_000233664398	ZHAN22-3_SAMN22787331_MAG_00000075	Catalytic triad complete	560	A0ABQ1PFM1	559	89.000	559	0.000E+00	0.998	1.000	1.0018
OMDBv2.0_AA_G_NR100_000182553033	TAOJ22-1_SAMN27365863_MAG_00000026	HMM-supported (no triad)	192	A0A923GGZ4	559	94.200	191	1.118E-131	0.995	0.342	0.3435
OMDBv2.0_AA_G_NR100_000006641956	ATLA15-1_SAMN03981634-S001_MAG_00000128	Catalytic triad complete	308	A0ABQ5V5E0	559	56.800	306	6.127E-123	0.994	0.547	0.5510
